protein_id	feature_order	n_tmhelix	has_signal	has_unknown_features
IRN_006146	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_006147	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_006568	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_006569	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_006571	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_006572	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_006620	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_006621	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_006687	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_006691	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_006692	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_006693	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_006694	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_006695	signal,outside,tmhelix,inside,tmhelix,outside	2	true	false
IRN_006696	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_006708	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_006709	inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	4	false	false
IRN_006822	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_006823	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_006834	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_006860	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_006871	signal,outside,tmhelix,inside	1	true	false
IRN_006902	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_006903	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_006904	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_007570	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_007815	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_008983	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_009752	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_009880	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	5	false	false
IRN_009883	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_010297	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_010403	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_010408	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_010559	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_010772	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_011021	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_012210	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_012435	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_012556	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_012579	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_012580	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_012764	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_013051	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_013052	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_013061	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_013062	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_013081	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_013082	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_013094	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_013095	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_013096	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_013101	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	5	true	false
IRN_013102	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_013103	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_013108	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_013109	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_013264	inside,tmhelix,outside,tmhelix,inside,tmhelix,outside	3	false	false
IRN_014672	inside,tmhelix,outside,tmhelix,inside	2	false	false
IRN_014782	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_015238	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_015377	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_015386	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_016450	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_016454	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_016461	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_016521	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_016522	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_017733	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018012	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018036	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside	6	true	false
IRN_018037	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside	8	true	false
IRN_018066	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018068	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018675	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_018676	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018677	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018678	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_018679	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018680	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_018682	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018683	outside,tmhelix,inside,tmhelix,outside	2	false	false
IRN_018684	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_018685	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018686	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_018687	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_018688	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018689	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018690	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018691	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018692	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_018693	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018694	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018695	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_018696	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018697	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018698	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_018699	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_018700	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018701	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018702	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_018703	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018705	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018708	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018709	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_018710	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018711	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	5	true	false
IRN_018712	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018713	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	7	true	false
IRN_018714	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	5	true	false
IRN_018715	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	7	false	false
IRN_018716	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	7	false	false
IRN_018717	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018718	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018719	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	11	true	false
IRN_018720	inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	4	false	false
IRN_018721	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	11	true	false
IRN_018722	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside	6	true	false
IRN_018723	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_018724	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018725	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018726	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	7	true	false
IRN_018727	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	9	false	false
IRN_018728	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	7	true	false
IRN_018729	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	7	true	false
IRN_018730	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_018731	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	15	false	false
IRN_018732	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	9	false	false
IRN_018733	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	7	true	false
IRN_018953	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_018954	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_018958	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_019601	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_019720	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_019725	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_019932	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_019933	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_022758	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_023144	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_025453	signal,outside,tmhelix,inside,tmhelix,outside	2	true	false
IRN_025902	outside,tmhelix,inside	1	false	false
IRN_025904	inside,tmhelix,outside,tmhelix,inside	2	false	false
IRN_027879	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_027881	signal,outside	0	true	false
IRN_028181	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_029316	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_029506	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_029576	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_030326	outside,tmhelix,inside,tmhelix,outside	2	false	false
IRN_030338	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_030368	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_030383	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_030384	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_030390	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_030391	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_030392	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_030393	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_030397	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_030636	outside,tmhelix,inside,tmhelix,outside	2	false	false
IRN_032083	signal,outside,tmhelix,inside,tmhelix,outside	2	true	false
IRN_032095	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_032160	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_032161	outside,tmhelix,inside,tmhelix,outside	2	false	false
IRN_032162	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_033807	inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	4	false	false
IRN_034264	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_034309	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_036279	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_036342	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	7	false	false
IRN_036344	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_036482	outside,tmhelix,inside	1	false	false
IRN_036483	outside,tmhelix,inside,tmhelix,outside	2	false	false
IRN_036520	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_036521	signal,outside,tmhelix,inside,tmhelix,outside	2	true	false
IRN_036522	signal,outside,tmhelix,inside,tmhelix,outside	2	true	false
IRN_038942	inside,tmhelix,outside,tmhelix,inside	2	false	false
IRN_039685	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_039907	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_042102	signal,outside	0	true	false
IRN_042621	outside,tmhelix,inside,tmhelix,outside	2	false	false
IRN_042646	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_042647	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_042648	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_042688	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_043019	outside,tmhelix,inside,tmhelix,outside	2	false	false
IRN_043020	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_043131	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_043132	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_043688	outside,tmhelix,inside,tmhelix,outside	2	false	false
IRN_043690	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_043691	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false
IRN_043756	signal,outside,tmhelix,inside,tmhelix,outside	2	true	false
IRN_043869	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_043870	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside	6	true	false
IRN_043887	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_043888	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_044096	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_044111	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_044112	outside,tmhelix,inside,tmhelix,outside	2	false	false
IRN_044238	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_045081	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false
IRN_046536	inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	4	false	false
