merged_gene_id	merged_isoform_id	internal_id	final_decision	annotation_track	source_id	transcript_id	topology_class	contig	start	end	strand
CM058177.1_5143023-5159830r	CM058177.1_5143023-5159830r_X6-5154574-5156495-IRN_002216	IRN_002216	accept	Dmagna_LRV_IRs_braker_fixed	g11985.t1	g11985.t1	strict	CM058177.1	5154574	5156495	-
CM058177.1_5143023-5159830r	CM058177.1_5143023-5159830r_X7-5154574-5156495-IRN_018721	IRN_018721	accept	Dmagna_LRV_rnd1	maker-CM058177.1-exonerate_protein2genome-gene-0.39-mRNA-1	maker-CM058177.1-exonerate_protein2genome-gene-0.39-mRNA-1	strict	CM058177.1	5154574	5156495	-
CM058177.1_5143023-5159830r	CM058177.1_5143023-5159830r_X8-5154883-5156495-IRN_038406	IRN_038406	reject	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna019517-T1	rna-Dmagna019517-T1	fail	CM058177.1	5154883	5156495	-
CM058177.1_5143023-5159830r	CM058177.1_5143023-5159830r_X9-5157858-5159830-IRN_002217	IRN_002217	accept	Dmagna_LRV_IRs_braker_fixed	g11986.t1	g11986.t1	strict	CM058177.1	5157858	5159830	-
CM058177.1_5143023-5159830r	CM058177.1_5143023-5159830r_X10-5157858-5159830-IRN_018722	IRN_018722	accept	Dmagna_LRV_rnd1	maker-CM058177.1-exonerate_protein2genome-gene-0.40-mRNA-1	maker-CM058177.1-exonerate_protein2genome-gene-0.40-mRNA-1	strict	CM058177.1	5157858	5159830	-
CM058177.1_5143023-5159830r	CM058177.1_5143023-5159830r_X11-5158731-5159830-IRN_038407	IRN_038407	reject	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna019518-T1	rna-Dmagna019518-T1	fail	CM058177.1	5158731	5159830	-
CM058178.1_716185-718189f	CM058178.1_716185-718189f_X1-716185-718189-IRN_003466	IRN_003466	accept	Dmagna_LRV_IRs_braker_fixed	g13107.t2	g13107.t2	strict	CM058178.1	716185	718189	+
CM058178.1_716185-718189f	CM058178.1_716185-718189f_X2-716251-718189-IRN_003465	IRN_003465	accept	Dmagna_LRV_IRs_braker_fixed	g13107.t1	g13107.t1	strict	CM058178.1	716251	718189	+
CM058178.1_716185-718189f	CM058178.1_716185-718189f_X3-716251-718189-IRN_018724	IRN_018724	accept	Dmagna_LRV_rnd1	maker-CM058178.1-exonerate_protein2genome-gene-0.3-mRNA-1	maker-CM058178.1-exonerate_protein2genome-gene-0.3-mRNA-1	strict	CM058178.1	716251	718189	+
CM058178.1_716185-718189f	CM058178.1_716185-718189f_X4-716251-718189-IRN_048920	IRN_048920	accept	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna031580-T1	rna-Dmagna031580-T1	strict	CM058178.1	716251	718189	+
CM058178.1_716185-718189f	CM058178.1_716185-718189f_X5-716251-718189-IRN_051561	IRN_051561	accept	Dmagna_LRV_snap-aug	maker-CM058178.1-augustus-gene-1.733-mRNA-1	maker-CM058178.1-augustus-gene-1.733-mRNA-1	strict	CM058178.1	716251	718189	+
CM058178.1_2462359-2464348r	CM058178.1_2462359-2464348r_X1-2462359-2464348-IRN_003685	IRN_003685	accept	Dmagna_LRV_IRs_braker_fixed	g13304.t1	g13304.t1	strict	CM058178.1	2462359	2464348	-
CM058178.1_2462359-2464348r	CM058178.1_2462359-2464348r_X2-2462359-2464348-IRN_049333	IRN_049333	accept	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna031980-T1	rna-Dmagna031980-T1	strict	CM058178.1	2462359	2464348	-
CM058178.1_2462359-2464348r	CM058178.1_2462359-2464348r_X3-2462359-2464348-IRN_051562	IRN_051562	accept	Dmagna_LRV_snap-aug	maker-CM058178.1-augustus-gene-1.802-mRNA-1	maker-CM058178.1-augustus-gene-1.802-mRNA-1	strict	CM058178.1	2462359	2464348	-
CM058178.1_2462359-2464348r	CM058178.1_2462359-2464348r_X4-2462401-2464348-IRN_018726	IRN_018726	accept	Dmagna_LRV_rnd1	maker-CM058178.1-exonerate_protein2genome-gene-0.6-mRNA-1	maker-CM058178.1-exonerate_protein2genome-gene-0.6-mRNA-1	strict	CM058178.1	2462401	2464348	-
CM058178.1_2697718-2704887f	CM058178.1_2697718-2704887f_X1-2697718-2702496-IRN_049395	IRN_049395	reject	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna032037-T1	rna-Dmagna032037-T1	fail	CM058178.1	2697718	2702496	+
CM058178.1_2697718-2704887f	CM058178.1_2697718-2704887f_X2-2700436-2704827-IRN_051563	IRN_051563	reject	Dmagna_LRV_snap-aug	maker-CM058178.1-snap-gene-1.728-mRNA-1	maker-CM058178.1-snap-gene-1.728-mRNA-1	fail	CM058178.1	2700436	2704827	+
CM058178.1_2697718-2704887f	CM058178.1_2697718-2704887f_X3-2700475-2702496-IRN_003720	IRN_003720	accept	Dmagna_LRV_IRs_braker_fixed	g13336.t1	g13336.t1	strict	CM058178.1	2700475	2702496	+
CM058178.1_2697718-2704887f	CM058178.1_2697718-2704887f_X4-2700475-2702496-IRN_018725	IRN_018725	accept	Dmagna_LRV_rnd1	maker-CM058178.1-exonerate_protein2genome-gene-0.5-mRNA-1	maker-CM058178.1-exonerate_protein2genome-gene-0.5-mRNA-1	strict	CM058178.1	2700475	2702496	+
CM058178.1_2697718-2704887f	CM058178.1_2697718-2704887f_X5-2703195-2704887-IRN_003721	IRN_003721	reject	Dmagna_LRV_IRs_braker_fixed	g13337.t1	g13337.t1	fail	CM058178.1	2703195	2704887	+
CM058179.1_3873415-3880370f	CM058179.1_3873415-3880370f_X1-3873415-3880370-IRN_005416	IRN_005416	reject	Dmagna_LRV_IRs_braker_fixed	g14863.t1	g14863.t1	fail	CM058179.1	3873415	3880370	+
CM058179.1_3873415-3880370f	CM058179.1_3873415-3880370f_X2-3873415-3880370-IRN_005417	IRN_005417	reject	Dmagna_LRV_IRs_braker_fixed	g14863.t2	g14863.t2	fail	CM058179.1	3873415	3880370	+
CM058179.1_3873415-3880370f	CM058179.1_3873415-3880370f_X3-3877656-3879172-IRN_044479	IRN_044479	reject	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna026277-T1	rna-Dmagna026277-T1	fail	CM058179.1	3877656	3879172	+
CM058179.1_3873415-3880370f	CM058179.1_3873415-3880370f_X4-3877783-3880370-IRN_051564	IRN_051564	accept	Dmagna_LRV_snap-aug	maker-CM058179.1-augustus-gene-1.812-mRNA-1	maker-CM058179.1-augustus-gene-1.812-mRNA-1	relaxed	CM058179.1	3877783	3880370	+
CM058179.1_3873415-3880370f	CM058179.1_3873415-3880370f_X5-3878746-3880370-IRN_018727	IRN_018727	accept	Dmagna_LRV_rnd1	maker-CM058179.1-exonerate_est2genome-gene-0.0-mRNA-1	maker-CM058179.1-exonerate_est2genome-gene-0.0-mRNA-1	relaxed	CM058179.1	3878746	3880370	+
CM058179.1_6006418-6010736f	CM058179.1_6006418-6010736f_X1-6006418-6008330-IRN_005737	IRN_005737	accept	Dmagna_LRV_IRs_braker_fixed	g15150.t1	g15150.t1	strict	CM058179.1	6006418	6008330	+
CM058179.1_6006418-6010736f	CM058179.1_6006418-6010736f_X2-6006418-6008330-IRN_018728	IRN_018728	accept	Dmagna_LRV_rnd1	maker-CM058179.1-exonerate_est2genome-gene-0.1-mRNA-1	maker-CM058179.1-exonerate_est2genome-gene-0.1-mRNA-1	strict	CM058179.1	6006418	6008330	+
CM058179.1_6006418-6010736f	CM058179.1_6006418-6010736f_X3-6006418-6008330-IRN_045047	IRN_045047	accept	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna026812-T1	rna-Dmagna026812-T1	strict	CM058179.1	6006418	6008330	+
CM058179.1_6006418-6010736f	CM058179.1_6006418-6010736f_X4-6006418-6010736-IRN_051571	IRN_051571	reject	Dmagna_LRV_snap-aug	maker-CM058179.1-snap-gene-1.802-mRNA-1	maker-CM058179.1-snap-gene-1.802-mRNA-1	fail	CM058179.1	6006418	6010736	+
CM058179.1_6006418-6010736f	CM058179.1_6006418-6010736f_X5-6008849-6010736-IRN_005738	IRN_005738	accept	Dmagna_LRV_IRs_braker_fixed	g15151.t1	g15151.t1	strict	CM058179.1	6008849	6010736	+
CM058179.1_6006418-6010736f	CM058179.1_6006418-6010736f_X6-6008849-6010736-IRN_018729	IRN_018729	accept	Dmagna_LRV_rnd1	maker-CM058179.1-exonerate_est2genome-gene-0.2-mRNA-1	maker-CM058179.1-exonerate_est2genome-gene-0.2-mRNA-1	strict	CM058179.1	6008849	6010736	+
CM058179.1_6006418-6010736f	CM058179.1_6006418-6010736f_X7-6008849-6010736-IRN_045048	IRN_045048	accept	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna026813-T1	rna-Dmagna026813-T1	strict	CM058179.1	6008849	6010736	+
CM058179.1_6013505-6014969r	CM058179.1_6013505-6014969r_X1-6013505-6014656-IRN_005740	IRN_005740	reject	Dmagna_LRV_IRs_braker_fixed	g15152.t2	g15152.t2	fail	CM058179.1	6013505	6014656	-
CM058179.1_6013505-6014969r	CM058179.1_6013505-6014969r_X2-6013505-6014656-IRN_018731	IRN_018731	reject	Dmagna_LRV_rnd1	maker-CM058179.1-exonerate_est2genome-gene-0.4-mRNA-1	maker-CM058179.1-exonerate_est2genome-gene-0.4-mRNA-1	fail	CM058179.1	6013505	6014656	-
CM058179.1_6013505-6014969r	CM058179.1_6013505-6014969r_X3-6013505-6014656-IRN_051567	IRN_051567	reject	Dmagna_LRV_snap-aug	maker-CM058179.1-exonerate_est2genome-gene-0.4-mRNA-1	maker-CM058179.1-exonerate_est2genome-gene-0.4-mRNA-1	fail	CM058179.1	6013505	6014656	-
CM058179.1_6013505-6014969r	CM058179.1_6013505-6014969r_X4-6013505-6014969-IRN_005739	IRN_005739	reject	Dmagna_LRV_IRs_braker_fixed	g15152.t1	g15152.t1	fail	CM058179.1	6013505	6014969	-
CM058179.1_6110901-6112939r	CM058179.1_6110901-6112939r_X1-6110901-6112939-IRN_005750	IRN_005750	accept	Dmagna_LRV_IRs_braker_fixed	g15161.t1	g15161.t1	strict	CM058179.1	6110901	6112939	-
CM058179.1_6110901-6112939r	CM058179.1_6110901-6112939r_X2-6110901-6112939-IRN_018732	IRN_018732	accept	Dmagna_LRV_rnd1	maker-CM058179.1-exonerate_est2genome-gene-0.5-mRNA-1	maker-CM058179.1-exonerate_est2genome-gene-0.5-mRNA-1	strict	CM058179.1	6110901	6112939	-
CM058179.1_6110901-6112939r	CM058179.1_6110901-6112939r_X3-6110901-6112939-IRN_051568	IRN_051568	accept	Dmagna_LRV_snap-aug	maker-CM058179.1-exonerate_est2genome-gene-0.5-mRNA-1	maker-CM058179.1-exonerate_est2genome-gene-0.5-mRNA-1	strict	CM058179.1	6110901	6112939	-
CM058179.1_6110901-6112939r	CM058179.1_6110901-6112939r_X4-6111412-6112393-IRN_045071	IRN_045071	reject	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna026838-T1	rna-Dmagna026838-T1	fail	CM058179.1	6111412	6112393	-
CM058179.1_6207266-6210288r	CM058179.1_6207266-6210288r_X1-6207266-6210288-IRN_005768	IRN_005768	accept	Dmagna_LRV_IRs_braker_fixed	g15178.t1	g15178.t1	strict	CM058179.1	6207266	6210288	-
CM058179.1_6207266-6210288r	CM058179.1_6207266-6210288r_X2-6207266-6210288-IRN_005769	IRN_005769	accept	Dmagna_LRV_IRs_braker_fixed	g15178.t2	g15178.t2	strict	CM058179.1	6207266	6210288	-
CM058179.1_6207266-6210288r	CM058179.1_6207266-6210288r_X3-6207266-6210288-IRN_018733	IRN_018733	accept	Dmagna_LRV_rnd1	maker-CM058179.1-exonerate_est2genome-gene-0.6-mRNA-1	maker-CM058179.1-exonerate_est2genome-gene-0.6-mRNA-1	strict	CM058179.1	6207266	6210288	-
CM058179.1_6207266-6210288r	CM058179.1_6207266-6210288r_X4-6207266-6210288-IRN_045100	IRN_045100	accept	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna026866-T1	rna-Dmagna026866-T1	strict	CM058179.1	6207266	6210288	-
CM058179.1_6207266-6210288r	CM058179.1_6207266-6210288r_X5-6207266-6210288-IRN_051569	IRN_051569	accept	Dmagna_LRV_snap-aug	maker-CM058179.1-exonerate_est2genome-gene-0.6-mRNA-1	maker-CM058179.1-exonerate_est2genome-gene-0.6-mRNA-1	strict	CM058179.1	6207266	6210288	-
CM058179.1_6224278-6226266r	CM058179.1_6224278-6226266r_X1-6224278-6225345-IRN_045105	IRN_045105	reject	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna026871-T1	rna-Dmagna026871-T1	relaxed	CM058179.1	6224278	6225345	-
CM058179.1_6224278-6226266r	CM058179.1_6224278-6226266r_X2-6224278-6226068-IRN_005773	IRN_005773	accept	Dmagna_LRV_IRs_braker_fixed	g15181.t1	g15181.t1	strict	CM058179.1	6224278	6226068	-
CM058179.1_6224278-6226266r	CM058179.1_6224278-6226266r_X3-6224278-6226266-IRN_018737	IRN_018737	accept	Dmagna_LRV_rnd1	maker-CM058179.1-exonerate_protein2genome-gene-0.67-mRNA-1	maker-CM058179.1-exonerate_protein2genome-gene-0.67-mRNA-1	strict	CM058179.1	6224278	6226266	-
CM058179.1_6224278-6226266r	CM058179.1_6224278-6226266r_X4-6224278-6226266-IRN_051570	IRN_051570	accept	Dmagna_LRV_snap-aug	maker-CM058179.1-exonerate_protein2genome-gene-0.67-mRNA-1	maker-CM058179.1-exonerate_protein2genome-gene-0.67-mRNA-1	strict	CM058179.1	6224278	6226266	-
CM058179.1_6228249-6235292f	CM058179.1_6228249-6235292f_X1-6228249-6235292-IRN_051572	IRN_051572	reject	Dmagna_LRV_snap-aug	maker-CM058179.1-snap-gene-1.803-mRNA-1	maker-CM058179.1-snap-gene-1.803-mRNA-1	fail	CM058179.1	6228249	6235292	+
CM058179.1_6228249-6235292f	CM058179.1_6228249-6235292f_X2-6228336-6230204-IRN_005774	IRN_005774	accept	Dmagna_LRV_IRs_braker_fixed	g15182.t1	g15182.t1	strict	CM058179.1	6228336	6230204	+
CM058179.1_6228249-6235292f	CM058179.1_6228249-6235292f_X3-6228336-6230527-IRN_045106	IRN_045106	accept	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna026872-T1	rna-Dmagna026872-T1	strict	CM058179.1	6228336	6230527	+
CM058179.1_6228249-6235292f	CM058179.1_6228249-6235292f_X4-6228336-6232487-IRN_018734	IRN_018734	reject	Dmagna_LRV_rnd1	maker-CM058179.1-exonerate_protein2genome-gene-0.15-mRNA-1	maker-CM058179.1-exonerate_protein2genome-gene-0.15-mRNA-1	strict	CM058179.1	6228336	6232487	+
CM058179.1_6228249-6235292f	CM058179.1_6228249-6235292f_X5-6230682-6232487-IRN_005775	IRN_005775	accept	Dmagna_LRV_IRs_braker_fixed	g15183.t1	g15183.t1	strict	CM058179.1	6230682	6232487	+
CM058179.1_6228249-6235292f	CM058179.1_6228249-6235292f_X6-6230682-6232597-IRN_045107	IRN_045107	accept	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna026873-T1	rna-Dmagna026873-T1	strict	CM058179.1	6230682	6232597	+
CM058179.1_6368669-6370513f	CM058179.1_6368669-6370513f_X1-6368669-6370513-IRN_005803	IRN_005803	accept	Dmagna_LRV_IRs_braker_fixed	g15208.t1	g15208.t1	strict	CM058179.1	6368669	6370513	+
CM058179.1_6368669-6370513f	CM058179.1_6368669-6370513f_X2-6368669-6370513-IRN_045154	IRN_045154	accept	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna026941-T1	rna-Dmagna026941-T1	strict	CM058179.1	6368669	6370513	+
CM058179.1_6368669-6370513f	CM058179.1_6368669-6370513f_X3-6368669-6370513-IRN_051515	IRN_051515	accept	Dmagna_LRV_snap-aug	augustus_masked-CM058179.1-processed-gene-1.464-mRNA-1	augustus_masked-CM058179.1-processed-gene-1.464-mRNA-1	strict	CM058179.1	6368669	6370513	+
CM058179.1_6368669-6370513f	CM058179.1_6368669-6370513f_X4-6369032-6370513-IRN_018735	IRN_018735	reject	Dmagna_LRV_rnd1	maker-CM058179.1-exonerate_protein2genome-gene-0.26-mRNA-1	maker-CM058179.1-exonerate_protein2genome-gene-0.26-mRNA-1	relaxed	CM058179.1	6369032	6370513	+
