internal_id	source_id	source_header	safe_id	source_type	sequence_sha256	has_internal_stop	contig	start	end	strand	gene_id	transcript_id	final_output_id
IRN_000014	gnl|WGS:ZZZZ|Megafenestra_007811-P1	gnl|WGS:ZZZZ|Megafenestra_007811-P1 LOW QUALITY PROTEIN: synaptic vesicular amine transporter-like	IRN_000014	protein_fasta	e1a31166a60d3e7dc1a4e24b3a01074e6584a66ac3c3116f398e26ef48448cc9	false							
IRN_000015	gnl|WGS:ZZZZ|Megafenestra_007939-P1	gnl|WGS:ZZZZ|Megafenestra_007939-P1 LOW QUALITY PROTEIN: papilin-like	IRN_000015	protein_fasta	29f070cea4164f6fe201e03f82e79ce6fa94b33dddf3905c6cba4a63091cffd4	false							
IRN_000016	gnl|WGS:ZZZZ|Megafenestra_008067-P1	gnl|WGS:ZZZZ|Megafenestra_008067-P1 LIM domain only protein 3-like	IRN_000016	protein_fasta	3d85de4a0bbe57b3b12798458168a3464f77f63bfec64b338ff680aa0776abaf	false							
IRN_000017	gnl|WGS:ZZZZ|Megafenestra_008172-P1	gnl|WGS:ZZZZ|Megafenestra_008172-P1 hydroxyacid oxidase	IRN_000017	protein_fasta	7ccb7144c29bda10d27cd77a0a18e1392b15931949f5dd01d0f35c03ccd9d7d6	false							
IRN_000018	gnl|WGS:ZZZZ|Megafenestra_008284-P1	gnl|WGS:ZZZZ|Megafenestra_008284-P1 ribosomal RNA processing 47	IRN_000018	protein_fasta	ea3f12b6df123c8ee91779891823c71291ddb4c1f63240833ff4d8363a046562	false							
IRN_000019	gnl|WGS:ZZZZ|Megafenestra_008391-P1	gnl|WGS:ZZZZ|Megafenestra_008391-P1 EEF1A lysine methyltransferase 2-like	IRN_000019	protein_fasta	a4f1dd1f6fecc4119bb1e99e1d0485f6c5fa8610efb7e9010121da833df91cbf	false							
IRN_000020	gnl|WGS:ZZZZ|Megafenestra_008504-P1	gnl|WGS:ZZZZ|Megafenestra_008504-P1 HAUS augmin-like complex subunit 1	IRN_000020	protein_fasta	dc1c010afb0e343334eda45c6818aa18ae7492aa5696079556674627fbacbe28	false							
IRN_000021	gnl|WGS:ZZZZ|Megafenestra_008617-P1	gnl|WGS:ZZZZ|Megafenestra_008617-P1 UDP-xylose synthase	IRN_000021	protein_fasta	f8c102eb4051c0764c8e0f6afdf3be9fe188aae088777313f56efe933bfe682a	false							
IRN_000022	gnl|WGS:ZZZZ|Megafenestra_008727-P1	gnl|WGS:ZZZZ|Megafenestra_008727-P1 uncharacterized protein Megafenestra_008727	IRN_000022	protein_fasta	b178fcb16fcfafe5917afefa31aaec3db2490a8140286d998269f04f14c596e6	false							
IRN_000023	gnl|WGS:ZZZZ|Megafenestra_008838-P1	gnl|WGS:ZZZZ|Megafenestra_008838-P1 uncharacterized protein Megafenestra_008838	IRN_000023	protein_fasta	07d4a8ef3f901c4abb41deab1be3dae5bbbd9eebcd377a53a9cc1b412bab312f	false							
IRN_000024	gnl|WGS:ZZZZ|Megafenestra_008951-P1	gnl|WGS:ZZZZ|Megafenestra_008951-P1 testis-expressed protein 10	IRN_000024	protein_fasta	799fd57ecbd3dd7b1e4891439007f7ea07848d9e8b2000b8ccf017177c8afaab	false							
IRN_000025	gnl|WGS:ZZZZ|Megafenestra_009064-P1	gnl|WGS:ZZZZ|Megafenestra_009064-P1 uncharacterized protein Megafenestra_009064	IRN_000025	protein_fasta	a6107ade923e51f4db52c9c25228de5218747ec09cff74c3045c6c5c420901fa	false							
IRN_000026	gnl|WGS:ZZZZ|Megafenestra_009175-P1	gnl|WGS:ZZZZ|Megafenestra_009175-P1 uncharacterized protein Megafenestra_009175	IRN_000026	protein_fasta	6ac78aa71ce1166c31af265d1767f29289877ceffd18a054b711ed0f85ae066c	false							
IRN_000027	gnl|WGS:ZZZZ|Megafenestra_009284-P1	gnl|WGS:ZZZZ|Megafenestra_009284-P1 alpha-tocopherol transfer protein-like	IRN_000027	protein_fasta	e9c22edf3067e719c06123fa82333a88c316bccac5a77093bce1e7bd99449ffc	false							
IRN_000028	gnl|WGS:ZZZZ|Megafenestra_009396-P1	gnl|WGS:ZZZZ|Megafenestra_009396-P1 retinaldehyde-binding protein 1-like, partial	IRN_000028	protein_fasta	bf8abb6ed30b5aa6c31c97c0a43b5b87daf85c63386df24864fce51143c41ada	false							
IRN_000029	gnl|WGS:ZZZZ|Megafenestra_009653-P1	gnl|WGS:ZZZZ|Megafenestra_009653-P1 ADP-ribosylation factor 1	IRN_000029	protein_fasta	39b5e75f63ca6289f582ba0dc0dd4896f97a4dd2b57a040c781aae811b7f5ace	false							
IRN_000030	gnl|WGS:ZZZZ|Megafenestra_009764-P1	gnl|WGS:ZZZZ|Megafenestra_009764-P1 intraflagellar transport protein Oseg6	IRN_000030	protein_fasta	f19d0173474c757ead2412914ef12ec6aa6299b9f70f7a06c375a61d1a214809	false							
IRN_000031	gnl|WGS:ZZZZ|Megafenestra_009877-P1	gnl|WGS:ZZZZ|Megafenestra_009877-P1 glucose transporter 4 enhancer factor	IRN_000031	protein_fasta	7b36b5c28ca03f33a797a7d422c226b50c2cf94f159858a92592ba6ee968f77d	false							
IRN_000032	gnl|WGS:ZZZZ|Megafenestra_009993-P1	gnl|WGS:ZZZZ|Megafenestra_009993-P1 carbonyl reductase [NADPH] 3-like	IRN_000032	protein_fasta	040d77e70842aa3518d795cef529630c9edd6a8097ca147b7751a1a323271a14	false							
IRN_000033	gnl|WGS:ZZZZ|Megafenestra_000038-P1	gnl|WGS:ZZZZ|Megafenestra_000038-P1 U5 small nuclear ribonucleoprotein l(3)72Ab	IRN_000033	protein_fasta	6e6c9a14c11fd2200bfdbb88992c5395b07968bde4ae8d826721f5c7cb09525d	false							
IRN_000034	gnl|WGS:ZZZZ|Megafenestra_000147-P1	gnl|WGS:ZZZZ|Megafenestra_000147-P1 transmembrane O-mannosyltransferase targeting cadherins 3	IRN_000034	protein_fasta	a8b5b5c08a8e1b38ba2c02a80162e060d2b5568ee74d78437b63022ef5e8111c	false							
IRN_000035	gnl|WGS:ZZZZ|Megafenestra_000255-P1	gnl|WGS:ZZZZ|Megafenestra_000255-P1 vesicular monoamine transporter	IRN_000035	protein_fasta	834d1481a05876b52e9460dafedf4cba9771846af589ef71e092aa873eb4d416	false							
IRN_000036	gnl|WGS:ZZZZ|Megafenestra_000372-P1	gnl|WGS:ZZZZ|Megafenestra_000372-P1 nicotinate phosphoribosyltransferase	IRN_000036	protein_fasta	38f789b6339702a71fd3fee32a6fa19283de36478c7b635b1c6ab6373cd2408f	false							
IRN_000037	gnl|WGS:ZZZZ|Megafenestra_000485-P1	gnl|WGS:ZZZZ|Megafenestra_000485-P1 beta-1,3-galactosyltransferase 1-like	IRN_000037	protein_fasta	a9994064ecebf56e53ad5a9e422137ec6473857bc03ce27ff47dcda928d94ff2	false							
IRN_000038	gnl|WGS:ZZZZ|Megafenestra_000595-P1	gnl|WGS:ZZZZ|Megafenestra_000595-P1 SID1 transmembrane family member 1-like	IRN_000038	protein_fasta	43eeb1909cdc28c09da8b3671696591e9eb9320f54b17c6e175fca900b83f46d	false							
IRN_000039	gnl|WGS:ZZZZ|Megafenestra_000708-P1	gnl|WGS:ZZZZ|Megafenestra_000708-P1 retinol dehydrogenase 13-like	IRN_000039	protein_fasta	a9999a659b1fb9d6c6438c210e7f452435ca40123581a0473424c235fee80725	false							
IRN_000040	gnl|WGS:ZZZZ|Megafenestra_000819-P1	gnl|WGS:ZZZZ|Megafenestra_000819-P1 lysosome membrane protein 2-like	IRN_000040	protein_fasta	fbe82e740369748d03782afda6971e893a8cfa7b12b3de4c5257b67e37c41d5c	false							
IRN_000041	gnl|WGS:ZZZZ|Megafenestra_000931-P1	gnl|WGS:ZZZZ|Megafenestra_000931-P1 lysosome membrane protein 2-like	IRN_000041	protein_fasta	07d2d987b556ae0c143376c634c0458e3b2d20181e31cb30dbe4baaf7477d61b	false							
IRN_000042	gnl|WGS:ZZZZ|Megafenestra_001044-P1	gnl|WGS:ZZZZ|Megafenestra_001044-P1 uncharacterized protein Megafenestra_001044	IRN_000042	protein_fasta	ac5e571d9bd066a72102f56b45763924ce22ee3ecceb6dd4f9d94073533e7d22	false							
IRN_000043	gnl|WGS:ZZZZ|Megafenestra_001157-P1	gnl|WGS:ZZZZ|Megafenestra_001157-P1 calcineurin-binding protein cabin-1-like	IRN_000043	protein_fasta	ff22b591aa187b22197b90010838646bbfe7f8690b25eb44ae0f0b8e5f17843c	false							
IRN_000044	gnl|WGS:ZZZZ|Megafenestra_001270-P1	gnl|WGS:ZZZZ|Megafenestra_001270-P1 electron transfer flavoprotein subunit alpha wal	IRN_000044	protein_fasta	c9a68a0599fb5e71f4bc5d5fc0844b3075b5904626025d344b0c76dad4f25a29	false							
IRN_000045	gnl|WGS:ZZZZ|Megafenestra_001383-P1	gnl|WGS:ZZZZ|Megafenestra_001383-P1 collagen type IV alpha 1	IRN_000045	protein_fasta	d9295ea8d7d2e4e19c0a7dfe17f885f03a8b60c7e9167813e79cd9427fac78c3	false							
IRN_000046	gnl|WGS:ZZZZ|Megafenestra_001493-P1	gnl|WGS:ZZZZ|Megafenestra_001493-P1 uncharacterized protein Megafenestra_001493	IRN_000046	protein_fasta	8302218902b43b2347f55e8de5d847dd83c704f37948978dee5a2f9da1230eb0	false							
IRN_000047	gnl|WGS:ZZZZ|Megafenestra_001604-P1	gnl|WGS:ZZZZ|Megafenestra_001604-P1 retinaldehyde-binding protein 1-like	IRN_000047	protein_fasta	afdb19c78ab07cbccdb1accbecde7523f615a552bada43821907b99012e7fe32	false							
IRN_000048	gnl|WGS:ZZZZ|Megafenestra_001714-P1	gnl|WGS:ZZZZ|Megafenestra_001714-P1 alpha-tocopherol transfer protein-like	IRN_000048	protein_fasta	e59eac7e498a8820a6fa0f84e8c9bb2520f06254dcc647b7fbb840e62288dba9	false							
IRN_000049	gnl|WGS:ZZZZ|Megafenestra_001826-P1	gnl|WGS:ZZZZ|Megafenestra_001826-P1 cell division cycle 42	IRN_000049	protein_fasta	7712b5da132d2b74d0397b3b9860880f76d39c1677f2d285e921b4cdabd777f2	false							
IRN_000050	gnl|WGS:ZZZZ|Megafenestra_002128-P1	gnl|WGS:ZZZZ|Megafenestra_002128-P1 ribosomal RNA small subunit methyltransferase NEP1	IRN_000050	protein_fasta	098e8a0a0f714ee05ea6b36d421c844c4b3056781a0a050ef27116cbdb32594b	false							
IRN_000051	gnl|WGS:ZZZZ|Megafenestra_002243-P1	gnl|WGS:ZZZZ|Megafenestra_002243-P1 potassium channel subfamily K member 15	IRN_000051	protein_fasta	11d06989146bc66b7056745ba9b60fb2adbc21a646c59b4542f16ea07a03e240	false							
IRN_000052	gnl|WGS:ZZZZ|Megafenestra_002351-P1	gnl|WGS:ZZZZ|Megafenestra_002351-P1 Golgi pH regulator	IRN_000052	protein_fasta	dbded74efe3ef293158ed4564401c8eac5fe4f1df038212c2cd75a126660cdd8	false							
IRN_000053	gnl|WGS:ZZZZ|Megafenestra_002463-P1	gnl|WGS:ZZZZ|Megafenestra_002463-P1 caspase-1-like	IRN_000053	protein_fasta	5f6575367d9c36742afeb91fcc3bc435ff9a22cef6c5b0976a7f8841f6b525ad	false							
IRN_000054	gnl|WGS:ZZZZ|Megafenestra_002576-P1	gnl|WGS:ZZZZ|Megafenestra_002576-P1 uncharacterized protein Megafenestra_002576	IRN_000054	protein_fasta	18ccafa24ac0841da826dee570e1ed70da934bd7b5c79fe0fa511bd4124e626e	false							
IRN_000055	gnl|WGS:ZZZZ|Megafenestra_002688-P1	gnl|WGS:ZZZZ|Megafenestra_002688-P1 lysosomal alpha-mannosidase-like	IRN_000055	protein_fasta	f6552aad64ae467e6db06c82030296b837fffb4bf0cb27a74c27f9d27fdb5808	false							
IRN_000056	gnl|WGS:ZZZZ|Megafenestra_002799-P1	gnl|WGS:ZZZZ|Megafenestra_002799-P1 uncharacterized protein Megafenestra_002799	IRN_000056	protein_fasta	26065602c7fae348e62ba01aa2d3243661424886990ea5998245f942fbbf3b63	false							
IRN_000057	gnl|WGS:ZZZZ|Megafenestra_002909-P1	gnl|WGS:ZZZZ|Megafenestra_002909-P1 lysosomal alpha-mannosidase-like	IRN_000057	protein_fasta	4b73254e7a2d0ad97429af84adf9ef49df766df77672c7f5913e53c301057fcf	false							
IRN_000058	gnl|WGS:ZZZZ|Megafenestra_003020-P1	gnl|WGS:ZZZZ|Megafenestra_003020-P1 LOW QUALITY PROTEIN: uncharacterized protein Megafenestra_003020	IRN_000058	protein_fasta	e3255f6034cb0461bcda670060a538b9f7fef6ed123719dc998b5727f303f18e	false							
IRN_000059	gnl|WGS:ZZZZ|Megafenestra_003129-P1	gnl|WGS:ZZZZ|Megafenestra_003129-P1 mitochondrial translation elongation factor Tu 1	IRN_000059	protein_fasta	2611170f5522354192f2012d9e15879c2d265f500037a7ae21d316f516dfbf13	false							
IRN_000060	gnl|WGS:ZZZZ|Megafenestra_003241-P1	gnl|WGS:ZZZZ|Megafenestra_003241-P1 synaptic vesicle 2-related protein	IRN_000060	protein_fasta	80cea6c271668c8dbdd709dbbc3822a8722db1773c9b83b7fd5938aec9d1a441	false							
IRN_000061	gnl|WGS:ZZZZ|Megafenestra_003354-P1	gnl|WGS:ZZZZ|Megafenestra_003354-P1 mitochondrial protein C2orf69 homolog	IRN_000061	protein_fasta	b2874f7873aa91472691793d76b598ecf6cb7a56ebc5def4669cce088dfe5886	false							
IRN_000062	gnl|WGS:ZZZZ|Megafenestra_003464-P1	gnl|WGS:ZZZZ|Megafenestra_003464-P1 suppressor of exocyst mutations 1	IRN_000062	protein_fasta	b5b79989c62bd441428d615e19295b6f055299bc7c13d1540fd7ae2aaad34bf9	false							
IRN_000063	gnl|WGS:ZZZZ|Megafenestra_003577-P1	gnl|WGS:ZZZZ|Megafenestra_003577-P1 leishmanolysin-like peptidase, invadolysin	IRN_000063	protein_fasta	55ce5eb4919b14c0caffb02a0d61075855a86af020af028890f27e1882a17e48	false							
IRN_000064	gnl|WGS:ZZZZ|Megafenestra_003689-P1	gnl|WGS:ZZZZ|Megafenestra_003689-P1 venom protease-like	IRN_000064	protein_fasta	75c712cb623c25d3af831a56e0be360743f617d746d1bc7b737d17bfa88af753	false							
IRN_000065	gnl|WGS:ZZZZ|Megafenestra_003801-P1	gnl|WGS:ZZZZ|Megafenestra_003801-P1 venom protease-like	IRN_000065	protein_fasta	3c0b2e06122ebfe91721c52269a3420b50bf995551a307d9454faad731faedd9	false							
IRN_000066	gnl|WGS:ZZZZ|Megafenestra_003909-P1	gnl|WGS:ZZZZ|Megafenestra_003909-P1 vacuolar protein sorting 52	IRN_000066	protein_fasta	bb7e80539e2f3249cb11b1fcf7da74397a18571f37be1a1ad72abe65c343bf18	false							
IRN_000067	gnl|WGS:ZZZZ|Megafenestra_004023-P1	gnl|WGS:ZZZZ|Megafenestra_004023-P1 BLOC-1 related complex subunit 7	IRN_000067	protein_fasta	7cb756c6dda502e1cbb5b28536341268cc15163d24302687da4199dfe13dd97a	false							
IRN_000068	gnl|WGS:ZZZZ|Megafenestra_004137-P1	gnl|WGS:ZZZZ|Megafenestra_004137-P1 RNA polymerase-associated protein Ctr9	IRN_000068	protein_fasta	bb56672b08f1c04345975080b92ea5bae9bf24835e931779a26dd7397e2c7518	false							
IRN_000069	gnl|WGS:ZZZZ|Megafenestra_004249-P1	gnl|WGS:ZZZZ|Megafenestra_004249-P1 electron transfer flavoprotein-ubiquinone oxidoreductase	IRN_000069	protein_fasta	5d0b5e01f7364e03eed758680a1a2184705af7cce5471a84ca457bf33fd7e79a	false							
IRN_000070	gnl|WGS:ZZZZ|Megafenestra_004359-P1	gnl|WGS:ZZZZ|Megafenestra_004359-P1 microtubule-associated protein Bicaudal D	IRN_000070	protein_fasta	f5e5d4c07e5139625b412cb94dc8f7e2e18d83cf66fc5b0f684bbc901bc16a8d	false							
IRN_000071	gnl|WGS:ZZZZ|Megafenestra_004471-P1	gnl|WGS:ZZZZ|Megafenestra_004471-P1 uncharacterized protein Megafenestra_004471	IRN_000071	protein_fasta	1b69909a66e5a49dcb52d1b0f00b4abc51a0b9dd9a661f824265875df4e3389b	false							
IRN_000072	gnl|WGS:ZZZZ|Megafenestra_004581-P1	gnl|WGS:ZZZZ|Megafenestra_004581-P1 uncharacterized protein Megafenestra_004581	IRN_000072	protein_fasta	7a5cbf2809a5c6205298f7b56de1bc4597d6b4ccb55dfe878ee72ada89792699	false							
IRN_000073	gnl|WGS:ZZZZ|Megafenestra_004692-P1	gnl|WGS:ZZZZ|Megafenestra_004692-P1 uncharacterized protein Megafenestra_004692	IRN_000073	protein_fasta	bf05d5231425f71aaf986ad0613d11d9d2b62a273fe4f1275c31387b06a611ba	false							
IRN_000074	gnl|WGS:ZZZZ|Megafenestra_004803-P1	gnl|WGS:ZZZZ|Megafenestra_004803-P1 uncharacterized protein Megafenestra_004803	IRN_000074	protein_fasta	9c0ecea463675f412b8f1c845ebb44ff3d3db9ebdb8f8b11b5153095784d0e13	false							
IRN_000075	gnl|WGS:ZZZZ|Megafenestra_004916-P1	gnl|WGS:ZZZZ|Megafenestra_004916-P1 carboxypeptidase B-like	IRN_000075	protein_fasta	9fed7de599af8865611d5e106e952d3f0920fb08dbec68764dd85976b950cdd1	false							
IRN_000076	gnl|WGS:ZZZZ|Megafenestra_005030-P1	gnl|WGS:ZZZZ|Megafenestra_005030-P1 carboxypeptidase B-like	IRN_000076	protein_fasta	88c689c237ee716e5fbeb449a95e069d5f9986624a19fd7a69fa05aab514a93f	false							
IRN_000077	gnl|WGS:ZZZZ|Megafenestra_005141-P1	gnl|WGS:ZZZZ|Megafenestra_005141-P1 carboxypeptidase B-like	IRN_000077	protein_fasta	810b1acf86127b6c4adc318eb2946eb740d5ba8071781641bc47f52ab1a25cef	false							
IRN_000078	gnl|WGS:ZZZZ|Megafenestra_005253-P1	gnl|WGS:ZZZZ|Megafenestra_005253-P1 torsin interacting protein	IRN_000078	protein_fasta	19d69e89676ee57f1c39c20f60a66a5914e85c51feba3219f03778a229fb7820	false							
IRN_000079	gnl|WGS:ZZZZ|Megafenestra_005364-P1	gnl|WGS:ZZZZ|Megafenestra_005364-P1 uncharacterized protein Megafenestra_005364	IRN_000079	protein_fasta	f68bc63d25a98f62619dda866bed47cf341181ba6a674a4bbc24b3ec08b301f2	false							
IRN_000080	gnl|WGS:ZZZZ|Megafenestra_005475-P1	gnl|WGS:ZZZZ|Megafenestra_005475-P1 uncharacterized protein Megafenestra_005475	IRN_000080	protein_fasta	cb4f661d0b6226303816864f21cdccce55bd033ec8042484e6535e3422a25d57	false							
IRN_000081	gnl|WGS:ZZZZ|Megafenestra_005665-P1	gnl|WGS:ZZZZ|Megafenestra_005665-P1 ribosomal protein L40	IRN_000081	protein_fasta	4f01fd778422efe91ffd938041ddbb3c5e6bfdf34ee48cb548be38685a553f7f	false							
IRN_000082	gnl|WGS:ZZZZ|Megafenestra_005775-P1	gnl|WGS:ZZZZ|Megafenestra_005775-P1 fumarate hydratase, mitochondrial-like	IRN_000082	protein_fasta	9e49ff700cb8d777ab32032f01346717821650157780a538550996f3c6c5b98c	false							
IRN_000083	gnl|WGS:ZZZZ|Megafenestra_005887-P1	gnl|WGS:ZZZZ|Megafenestra_005887-P1 uncharacterized protein Megafenestra_005887	IRN_000083	protein_fasta	d7c567c35e937f92939b5170f947e5366c538f0e6dbab0965b5ba9ceb230829f	false							
IRN_000084	gnl|WGS:ZZZZ|Megafenestra_005997-P1	gnl|WGS:ZZZZ|Megafenestra_005997-P1 protein tweety-like	IRN_000084	protein_fasta	17799c53cbfbdfd38462a630381311db014c6ec84af06ec81e9cc58108ee1f8b	false							
IRN_000085	gnl|WGS:ZZZZ|Megafenestra_006109-P1	gnl|WGS:ZZZZ|Megafenestra_006109-P1 alkaline phosphatase-like	IRN_000085	protein_fasta	09200674ad5ae05fcf9f41a76bb1360cd0c5d65a74a15e9538d2105042b12835	false							
IRN_000086	gnl|WGS:ZZZZ|Megafenestra_006222-P1	gnl|WGS:ZZZZ|Megafenestra_006222-P1 uncharacterized protein Megafenestra_006222	IRN_000086	protein_fasta	5163a26f426c6305aeb027196a1489395ef6d0e6b06cee4afd557a9fadbf9121	false							
IRN_000087	gnl|WGS:ZZZZ|Megafenestra_006334-P1	gnl|WGS:ZZZZ|Megafenestra_006334-P1 dehydrogenase/reductase SDR family member 9-like	IRN_000087	protein_fasta	a4c9d44105cd9f3a6b845913216f63c7a45052d133fb1fb88773665d95a20425	false							
IRN_000088	gnl|WGS:ZZZZ|Megafenestra_006445-P1	gnl|WGS:ZZZZ|Megafenestra_006445-P1 6-phosphogluconate dehydrogenase, decarboxylating-like	IRN_000088	protein_fasta	aa39f55a19b57866d43da23094eedecc6019d50793b36f7b8adfcfc10616ec42	false							
IRN_000089	gnl|WGS:ZZZZ|Megafenestra_006558-P1	gnl|WGS:ZZZZ|Megafenestra_006558-P1 dedicator of cytokinesis	IRN_000089	protein_fasta	e6fbf9d26223cabfcd7b8ac6b1c44a52d636624abafb7a5d79a64d25868c000f	false							
IRN_000090	gnl|WGS:ZZZZ|Megafenestra_006667-P1	gnl|WGS:ZZZZ|Megafenestra_006667-P1 target of EGR1 protein 1-like	IRN_000090	protein_fasta	db4c4822fdefebcdb4d3ce9c64708e212e40a02e8ee7054cb60ceb614d23b57d	false							
IRN_000091	gnl|WGS:ZZZZ|Megafenestra_006780-P1	gnl|WGS:ZZZZ|Megafenestra_006780-P1 uncharacterized protein Megafenestra_006780	IRN_000091	protein_fasta	3d24cd2237bba4f427b0c92652ed5ef0e2a1d83e3f66ff6d3a105bdf6db66bba	false							
IRN_000092	gnl|WGS:ZZZZ|Megafenestra_006891-P1	gnl|WGS:ZZZZ|Megafenestra_006891-P1 uncharacterized protein Megafenestra_006891	IRN_000092	protein_fasta	81f861aecbbc7e6bc41c1adb1aea0142456eaeae28df8bb13fc098ad02b755f5	false							
IRN_000093	gnl|WGS:ZZZZ|Megafenestra_007006-P1	gnl|WGS:ZZZZ|Megafenestra_007006-P1 adenine DNA glycosylase-like	IRN_000093	protein_fasta	567fce180ea74ffe55450fac37e91f22c8c28bcd470da4125803dbcf18e23a99	false							
IRN_000094	gnl|WGS:ZZZZ|Megafenestra_007119-P1	gnl|WGS:ZZZZ|Megafenestra_007119-P1 DNA-binding protein SMUBP-2-like	IRN_000094	protein_fasta	8b5d1310dece143c458f4a78e14ad27942511af65cce9646943202fe6698fcef	false							
IRN_000095	gnl|WGS:ZZZZ|Megafenestra_007232-P1	gnl|WGS:ZZZZ|Megafenestra_007232-P1 protein CTLA-2-alpha-like	IRN_000095	protein_fasta	fb666291497c662823c6e08b764943d9a84d41778f91e2a5e146f1d0cb9fb686	false							
IRN_000096	gnl|WGS:ZZZZ|Megafenestra_007342-P1	gnl|WGS:ZZZZ|Megafenestra_007342-P1 LOW QUALITY PROTEIN: transcriptional regulator ATRX homolog	IRN_000096	protein_fasta	cc273ad3235bb910790129329aff3b4aec6efacd27f1ff2bb3de8d524135a0d4	false							
IRN_000097	gnl|WGS:ZZZZ|Megafenestra_007406-P1	gnl|WGS:ZZZZ|Megafenestra_007406-P1 salivary peroxidase/catechol oxidase-like	IRN_000097	protein_fasta	57233068ea97fe6db302f46dadfb971dc76101e5ca9856fdfadb9fb13c65075d	false							
IRN_000098	gnl|WGS:ZZZZ|Megafenestra_007417-P1	gnl|WGS:ZZZZ|Megafenestra_007417-P1 inactive serine/threonine-protein kinase 19-like	IRN_000098	protein_fasta	0dd0a66f6d4576d5acfd034851b4aa313857fa93777fb28e35da5897a137533d	false							
IRN_000099	gnl|WGS:ZZZZ|Megafenestra_007428-P1	gnl|WGS:ZZZZ|Megafenestra_007428-P1 nudC domain-containing protein 3	IRN_000099	protein_fasta	f44195111256657338fd10a9ba46117cec9759f35902ac64358d78de3d3d3356	false							
IRN_000100	gnl|WGS:ZZZZ|Megafenestra_007439-P1	gnl|WGS:ZZZZ|Megafenestra_007439-P1 uncharacterized protein Megafenestra_007439	IRN_000100	protein_fasta	591670d76213471f1b82223301bc4952400e074dcc670a8c5a8f2b61fb30961f	false							
