protein_id	hardcoded_call	topology_class	hardcoded_reason
IRN_018716	fail	fail	wrong_feature_order
IRN_018717	pass	strict	matches_strict_topology
IRN_018718	pass	strict	matches_strict_topology
IRN_018719	fail	fail	wrong_feature_order
IRN_018720	fail	fail	wrong_feature_order
IRN_018721	fail	fail	wrong_feature_order
IRN_018722	fail	fail	wrong_feature_order
IRN_018723	pass	relaxed	matches_relaxed_topology
IRN_018724	pass	strict	matches_strict_topology
IRN_018725	pass	strict	matches_strict_topology
IRN_018726	fail	fail	wrong_feature_order
IRN_018727	fail	fail	wrong_feature_order
IRN_018728	fail	fail	wrong_feature_order
IRN_018729	fail	fail	wrong_feature_order
IRN_018730	pass	strict	matches_strict_topology
IRN_018731	fail	fail	wrong_feature_order
IRN_018732	fail	fail	wrong_feature_order
IRN_018733	fail	fail	wrong_feature_order
IRN_018953	pass	relaxed	matches_relaxed_topology
IRN_018954	pass	relaxed	matches_relaxed_topology
IRN_018958	pass	relaxed	matches_relaxed_topology
IRN_019601	pass	strict	matches_strict_topology
IRN_019720	pass	relaxed	matches_relaxed_topology
IRN_019725	pass	relaxed	matches_relaxed_topology
IRN_019932	pass	relaxed	matches_relaxed_topology
IRN_019933	pass	relaxed	matches_relaxed_topology
IRN_022758	pass	relaxed	matches_relaxed_topology
IRN_023144	pass	relaxed	matches_relaxed_topology
IRN_025453	fail	fail	wrong_feature_order
IRN_025902	fail	fail	wrong_feature_order
IRN_025904	fail	fail	wrong_feature_order
IRN_027879	pass	relaxed	matches_relaxed_topology
IRN_027881	fail	fail	wrong_feature_order
IRN_028181	pass	relaxed	matches_relaxed_topology
IRN_029316	pass	strict	matches_strict_topology
IRN_029506	pass	relaxed	matches_relaxed_topology
IRN_029576	pass	strict	matches_strict_topology
IRN_030326	fail	fail	wrong_feature_order
IRN_030338	pass	relaxed	matches_relaxed_topology
IRN_030368	pass	relaxed	matches_relaxed_topology
IRN_030383	pass	strict	matches_strict_topology
IRN_030384	pass	strict	matches_strict_topology
IRN_030390	pass	relaxed	matches_relaxed_topology
IRN_030391	pass	strict	matches_strict_topology
IRN_030392	pass	relaxed	matches_relaxed_topology
IRN_030393	pass	relaxed	matches_relaxed_topology
IRN_030397	pass	strict	matches_strict_topology
IRN_030636	fail	fail	wrong_feature_order
IRN_032083	fail	fail	wrong_feature_order
IRN_032095	pass	strict	matches_strict_topology
IRN_032160	pass	relaxed	matches_relaxed_topology
IRN_032161	fail	fail	wrong_feature_order
IRN_032162	pass	relaxed	matches_relaxed_topology
IRN_033807	fail	fail	wrong_feature_order
IRN_034264	pass	relaxed	matches_relaxed_topology
IRN_034309	pass	relaxed	matches_relaxed_topology
IRN_036279	pass	relaxed	matches_relaxed_topology
IRN_036342	fail	fail	wrong_feature_order
IRN_036344	pass	relaxed	matches_relaxed_topology
IRN_036482	fail	fail	wrong_feature_order
IRN_036483	fail	fail	wrong_feature_order
IRN_036520	pass	strict	matches_strict_topology
IRN_036521	fail	fail	wrong_feature_order
IRN_036522	fail	fail	wrong_feature_order
IRN_038942	fail	fail	wrong_feature_order
IRN_039685	pass	relaxed	matches_relaxed_topology
IRN_039907	pass	relaxed	matches_relaxed_topology
IRN_042102	fail	fail	wrong_feature_order
IRN_042621	fail	fail	wrong_feature_order
IRN_042646	pass	relaxed	matches_relaxed_topology
IRN_042647	pass	strict	matches_strict_topology
IRN_042648	pass	strict	matches_strict_topology
IRN_042688	pass	strict	matches_strict_topology
IRN_043019	fail	fail	wrong_feature_order
IRN_043020	pass	relaxed	matches_relaxed_topology
IRN_043131	pass	strict	matches_strict_topology
IRN_043132	pass	relaxed	matches_relaxed_topology
IRN_043688	fail	fail	wrong_feature_order
IRN_043690	pass	relaxed	matches_relaxed_topology
IRN_043691	pass	strict	matches_strict_topology
IRN_043756	fail	fail	wrong_feature_order
IRN_043869	pass	relaxed	matches_relaxed_topology
IRN_043870	fail	fail	wrong_feature_order
IRN_043887	pass	relaxed	matches_relaxed_topology
IRN_043888	pass	relaxed	matches_relaxed_topology
IRN_044096	pass	relaxed	matches_relaxed_topology
IRN_044111	pass	relaxed	matches_relaxed_topology
IRN_044112	fail	fail	wrong_feature_order
IRN_044238	pass	relaxed	matches_relaxed_topology
IRN_045081	pass	relaxed	matches_relaxed_topology
IRN_046536	fail	fail	wrong_feature_order
