protein_id	hardcoded_call	topology_class	hardcoded_reason
IRN_018713	pass	relaxed	matches_relaxed_topology
IRN_018714	pass	strict	matches_strict_topology
IRN_018715	pass	strict	matches_strict_topology
IRN_018716	pass	strict	matches_strict_topology
IRN_018717	pass	strict	matches_strict_topology
IRN_018718	pass	strict	matches_strict_topology
IRN_018719	pass	strict	matches_strict_topology
IRN_018720	pass	strict	matches_strict_topology
IRN_018721	pass	strict	matches_strict_topology
IRN_018722	pass	strict	matches_strict_topology
IRN_018723	pass	strict	matches_strict_topology
IRN_018724	pass	strict	matches_strict_topology
IRN_018725	pass	strict	matches_strict_topology
IRN_018726	pass	strict	matches_strict_topology
IRN_018727	pass	relaxed	matches_relaxed_topology
IRN_018728	pass	strict	matches_strict_topology
IRN_018729	pass	strict	matches_strict_topology
IRN_018730	pass	strict	matches_strict_topology
IRN_018731	fail	fail	wrong_feature_order
IRN_018732	pass	strict	matches_strict_topology
IRN_018733	pass	strict	matches_strict_topology
IRN_018734	pass	strict	matches_strict_topology
IRN_018735	pass	relaxed	matches_relaxed_topology
IRN_018736	pass	relaxed	matches_relaxed_topology
IRN_018737	pass	strict	matches_strict_topology
IRN_018738	pass	strict	matches_strict_topology
IRN_018739	pass	strict	matches_strict_topology
IRN_018740	pass	strict	matches_strict_topology
IRN_018741	pass	strict	matches_strict_topology
IRN_018742	pass	strict	matches_strict_topology
IRN_018743	pass	relaxed	matches_relaxed_topology
IRN_018744	pass	strict	matches_strict_topology
IRN_018745	pass	strict	matches_strict_topology
IRN_018746	pass	strict	matches_strict_topology
IRN_018747	pass	strict	matches_strict_topology
IRN_018748	pass	strict	matches_strict_topology
IRN_018750	pass	strict	matches_strict_topology
IRN_018751	pass	strict	matches_strict_topology
IRN_018752	pass	strict	matches_strict_topology
IRN_019005	pass	relaxed	matches_relaxed_topology
IRN_019006	pass	relaxed	matches_relaxed_topology
IRN_019011	pass	relaxed	matches_relaxed_topology
IRN_019737	pass	strict	matches_strict_topology
IRN_019890	pass	relaxed	matches_relaxed_topology
IRN_019896	pass	relaxed	matches_relaxed_topology
IRN_020148	pass	relaxed	matches_relaxed_topology
IRN_020149	pass	relaxed	matches_relaxed_topology
IRN_020591	pass	relaxed	matches_relaxed_topology
IRN_023258	pass	relaxed	matches_relaxed_topology
IRN_023706	pass	relaxed	matches_relaxed_topology
IRN_026222	fail	fail	wrong_feature_order
IRN_026466	pass	strict	matches_strict_topology
IRN_026720	fail	fail	wrong_feature_order
IRN_026722	fail	fail	wrong_feature_order
IRN_028897	pass	relaxed	matches_relaxed_topology
IRN_028899	fail	fail	wrong_feature_order
IRN_029258	pass	relaxed	matches_relaxed_topology
IRN_030489	pass	strict	matches_strict_topology
IRN_030706	pass	relaxed	matches_relaxed_topology
IRN_030707	pass	strict	matches_strict_topology
IRN_030779	pass	strict	matches_strict_topology
IRN_031157	pass	strict	matches_strict_topology
IRN_031619	fail	fail	wrong_feature_order
IRN_031632	pass	relaxed	matches_relaxed_topology
IRN_031667	pass	relaxed	matches_relaxed_topology
IRN_031684	pass	strict	matches_strict_topology
IRN_031685	pass	strict	matches_strict_topology
IRN_031692	pass	relaxed	matches_relaxed_topology
IRN_031693	pass	strict	matches_strict_topology
IRN_031694	pass	relaxed	matches_relaxed_topology
IRN_031695	pass	relaxed	matches_relaxed_topology
IRN_031700	pass	strict	matches_strict_topology
IRN_031967	fail	fail	wrong_feature_order
IRN_033492	pass	strict	matches_strict_topology
IRN_033493	fail	fail	wrong_feature_order
IRN_033505	pass	strict	matches_strict_topology
IRN_033506	pass	strict	matches_strict_topology
IRN_033588	pass	relaxed	matches_relaxed_topology
IRN_033589	fail	fail	wrong_feature_order
IRN_033590	pass	relaxed	matches_relaxed_topology
IRN_035277	fail	fail	wrong_feature_order
IRN_035780	pass	relaxed	matches_relaxed_topology
IRN_035832	pass	relaxed	matches_relaxed_topology
IRN_035835	pass	strict	matches_strict_topology
IRN_036948	pass	strict	matches_strict_topology
IRN_038096	pass	relaxed	matches_relaxed_topology
IRN_038181	fail	fail	wrong_feature_order
IRN_038183	pass	relaxed	matches_relaxed_topology
IRN_038359	fail	fail	wrong_feature_order
IRN_038360	fail	fail	wrong_feature_order
IRN_038405	pass	strict	matches_strict_topology
IRN_038406	fail	fail	wrong_feature_order
IRN_038407	fail	fail	wrong_feature_order
IRN_040954	fail	fail	wrong_feature_order
IRN_041817	pass	relaxed	matches_relaxed_topology
IRN_042050	pass	strict	matches_strict_topology
IRN_042068	pass	relaxed	matches_relaxed_topology
IRN_044479	fail	fail	wrong_feature_order
IRN_045047	pass	strict	matches_strict_topology
IRN_045048	pass	strict	matches_strict_topology
IRN_045071	fail	fail	wrong_feature_order
IRN_045100	pass	strict	matches_strict_topology
IRN_045105	pass	relaxed	matches_relaxed_topology
IRN_045106	pass	strict	matches_strict_topology
IRN_045107	pass	strict	matches_strict_topology
IRN_045154	pass	strict	matches_strict_topology
IRN_045533	fail	fail	wrong_feature_order
IRN_045534	pass	relaxed	matches_relaxed_topology
IRN_045650	pass	strict	matches_strict_topology
IRN_045651	pass	relaxed	matches_relaxed_topology
IRN_046228	fail	fail	wrong_feature_order
IRN_046230	pass	relaxed	matches_relaxed_topology
IRN_046231	pass	strict	matches_strict_topology
IRN_046303	fail	fail	wrong_feature_order
IRN_046435	pass	relaxed	matches_relaxed_topology
IRN_046436	fail	fail	wrong_feature_order
IRN_046438	pass	strict	matches_strict_topology
IRN_046455	pass	relaxed	matches_relaxed_topology
IRN_046456	pass	relaxed	matches_relaxed_topology
IRN_046681	pass	relaxed	matches_relaxed_topology
IRN_046698	pass	relaxed	matches_relaxed_topology
IRN_046699	fail	fail	wrong_feature_order
IRN_046832	pass	strict	matches_strict_topology
IRN_046833	pass	relaxed	matches_relaxed_topology
IRN_047705	pass	relaxed	matches_relaxed_topology
IRN_048055	pass	relaxed	matches_relaxed_topology
IRN_048920	pass	strict	matches_strict_topology
IRN_049333	pass	strict	matches_strict_topology
IRN_049395	fail	fail	wrong_feature_order
IRN_051513	pass	relaxed	matches_relaxed_topology
IRN_051514	pass	strict	matches_strict_topology
IRN_051515	pass	strict	matches_strict_topology
IRN_051516	pass	relaxed	matches_relaxed_topology
IRN_051517	pass	strict	matches_strict_topology
IRN_051518	pass	strict	matches_strict_topology
IRN_051519	pass	strict	matches_strict_topology
IRN_051521	pass	strict	matches_strict_topology
IRN_051522	pass	strict	matches_strict_topology
IRN_051523	pass	relaxed	matches_relaxed_topology
IRN_051524	pass	strict	matches_strict_topology
IRN_051525	pass	strict	matches_strict_topology
IRN_051526	pass	relaxed	matches_relaxed_topology
IRN_051527	pass	relaxed	matches_relaxed_topology
IRN_051528	fail	fail	wrong_feature_order
IRN_051529	pass	strict	matches_strict_topology
IRN_051530	pass	strict	matches_strict_topology
IRN_051531	pass	strict	matches_strict_topology
IRN_051532	pass	relaxed	matches_relaxed_topology
IRN_051533	pass	relaxed	matches_relaxed_topology
IRN_051535	pass	strict	matches_strict_topology
IRN_051536	pass	strict	matches_strict_topology
IRN_051537	fail	fail	wrong_feature_order
IRN_051538	pass	strict	matches_strict_topology
IRN_051539	pass	relaxed	matches_relaxed_topology
IRN_051540	pass	strict	matches_strict_topology
IRN_051541	pass	strict	matches_strict_topology
IRN_051542	fail	fail	wrong_feature_order
IRN_051543	fail	fail	wrong_feature_order
IRN_051544	pass	strict	matches_strict_topology
IRN_051545	pass	strict	matches_strict_topology
IRN_051546	pass	strict	matches_strict_topology
IRN_051547	pass	strict	matches_strict_topology
IRN_051548	pass	strict	matches_strict_topology
IRN_051549	pass	strict	matches_strict_topology
IRN_051550	fail	fail	wrong_feature_order
IRN_051551	fail	fail	wrong_feature_order
IRN_051552	fail	fail	wrong_feature_order
IRN_051553	pass	strict	matches_strict_topology
IRN_051554	pass	relaxed	matches_relaxed_topology
IRN_051555	pass	strict	matches_strict_topology
IRN_051556	pass	strict	matches_strict_topology
IRN_051557	pass	strict	matches_strict_topology
IRN_051558	fail	fail	wrong_feature_order
IRN_051559	fail	fail	wrong_feature_order
IRN_051560	fail	fail	wrong_feature_order
IRN_051561	pass	strict	matches_strict_topology
IRN_051562	pass	strict	matches_strict_topology
IRN_051563	fail	fail	wrong_feature_order
IRN_051564	pass	relaxed	matches_relaxed_topology
IRN_051565	pass	strict	matches_strict_topology
IRN_051566	pass	strict	matches_strict_topology
IRN_051567	fail	fail	wrong_feature_order
IRN_051568	pass	strict	matches_strict_topology
IRN_051569	pass	strict	matches_strict_topology
IRN_051570	pass	strict	matches_strict_topology
IRN_051571	fail	fail	wrong_feature_order
IRN_051572	fail	fail	wrong_feature_order
IRN_051573	pass	strict	matches_strict_topology
IRN_051574	pass	strict	matches_strict_topology
IRN_051575	fail	fail	wrong_feature_order
IRN_051576	fail	fail	wrong_feature_order
IRN_051577	pass	strict	matches_strict_topology
IRN_051578	fail	fail	wrong_feature_order
IRN_051579	fail	fail	wrong_feature_order
IRN_051580	fail	fail	wrong_feature_order
