canonical_internal_id	provisional_internal_id	annotation_track	source_id	transcript_id	cds_signature	sequence_sha256
IRN_000008	IRN_000008	Dmagna_LRV_IRs_braker_fixed	g10003.t1	g10003.t1	CM058176.1|+|967526-967653-0,967724-967878-1,967995-968645-2,968731-968886-2,968959-969180-2,969245-969442-2,969542-969678-2,969742-969909-0,969987-970189-0,970279-970448-1,970535-970701-2	2e8ce89ff1eeb6cfe8dab845b3aec6b721e06830bb43ba5199bc3ecff04ca530
IRN_000009	IRN_000009	Dmagna_LRV_IRs_braker_fixed	g10004.t1	g10004.t1	CM058176.1|-|971747-972201-2,972295-972565-0,972692-972868-0,973000-973385-2,973448-973747-2,973851-974231-2,974330-974542-2,974619-974809-1,974875-974990-0,975066-975162-1,975241-975467-0	ace4c4ba0ded4a64d7c320962d12810987916f76d914a05840587366f6c0ce66
IRN_000010	IRN_000010	Dmagna_LRV_IRs_braker_fixed	g10005.t1	g10005.t1	CM058176.1|-|990374-990993-2,991070-991474-2,991580-992495-0	caa4530c72da0066a7c9d097a1ce3cd26879bbe3095c2a675f19a26d1ee51f48
IRN_000010	IRN_022919	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna004018-T1	rna-Dmagna004018-T1	CM058176.1|-|990374-990993-2,991070-991474-2,991580-992495-0	caa4530c72da0066a7c9d097a1ce3cd26879bbe3095c2a675f19a26d1ee51f48
IRN_000011	IRN_000011	Dmagna_LRV_IRs_braker_fixed	g10006.t1	g10006.t1	CM058176.1|-|993590-995056-0	d00895f5855daabdbfce43a1468bb464a6ddeccab7540cf4c7bda425d37a2565
IRN_000012	IRN_000012	Dmagna_LRV_IRs_braker_fixed	g10007.t1	g10007.t1	CM058176.1|-|997932-998419-2,998529-998631-0,998708-998945-1,999118-1000175-0	fb239ce583de577b11e078076540f3147350ce9b71049503339547725ec1d75e
IRN_000013	IRN_000013	Dmagna_LRV_IRs_braker_fixed	g10008.t1	g10008.t1	CM058176.1|+|1001715-1001804-0,1001864-1002058-0,1002130-1002285-0,1002397-1002564-0	396be9edd3ccc46c038c9f58a9ebcf080cf49504fc74c8158fb6c15695c8a8ed
IRN_000014	IRN_000014	Dmagna_LRV_IRs_braker_fixed	g10009.t1	g10009.t1	CM058176.1|+|1003319-1004449-0,1004525-1005035-0,1005119-1005790-2,1005863-1006134-2,1006195-1006640-0,1006708-1007021-1,1007087-1007163-2,1007229-1007363-0,1007444-1007806-0,1007876-1008193-0,1008294-1008723-0,1008796-1009067-2,1009140-1009268-0	9c746e047061414f1e2c164ccbb4362be9abc4aba426bbc0bef66e39fb057f50
IRN_000014	IRN_022925	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna004024-T1	rna-Dmagna004024-T1	CM058176.1|+|1003319-1004449-0,1004525-1005035-0,1005119-1005790-2,1005863-1006134-2,1006195-1006640-0,1006708-1007021-1,1007087-1007163-2,1007229-1007363-0,1007444-1007806-0,1007876-1008193-0,1008294-1008723-0,1008796-1009067-2,1009140-1009268-0	9c746e047061414f1e2c164ccbb4362be9abc4aba426bbc0bef66e39fb057f50
IRN_000015	IRN_000015	Dmagna_LRV_IRs_braker_fixed	g1001.t1	g1001.t1	CM058171.1|+|8239135-8239370-0,8239557-8239767-1	b438aacc475722fb21f09f29e5349de59f4cd935f8070b5c110a8280f5c22236
IRN_000016	IRN_000016	Dmagna_LRV_IRs_braker_fixed	g10010.t1	g10010.t1	CM058176.1|+|1012737-1012958-0	aa67ac6da7db96ba2019c9c0120fd3aec74efe3ffaeef2100cc9d545803cf96d
IRN_000017	IRN_000017	Dmagna_LRV_IRs_braker_fixed	g10011.t1	g10011.t1	CM058176.1|+|1013972-1015429-0	9dfd7ed4869924bb4d91b2d90dd5441dfdeba175ad220883785996dfc817d199
IRN_000018	IRN_000018	Dmagna_LRV_IRs_braker_fixed	g10012.t1	g10012.t1	CM058176.1|+|1018368-1019299-0,1020551-1020651-1,1021016-1021124-2,1021254-1021536-1,1021629-1021791-0,1022135-1022290-2,1023156-1023284-2,1023350-1023483-2,1023553-1023660-0,1023733-1023895-0,1023974-1024257-2,1024353-1024463-0	50d56e358c5fd7e558d74057c1d327fa767cf4e84d62964306463fe83cb19147
IRN_000019	IRN_000019	Dmagna_LRV_IRs_braker_fixed	g10013.t1	g10013.t1	CM058176.1|-|1032077-1032661-0,1032733-1033012-1,1033131-1033216-0,1033335-1033499-0,1033576-1033799-2,1033934-1034013-1,1034097-1034155-0,1034441-1034515-0	e06ed31ae111315b923bd3f9fef70e824a47f4652190efc2da83f9fec1525a3c
IRN_000019	IRN_022932	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna004032-T1	rna-Dmagna004032-T1	CM058176.1|-|1032077-1032661-0,1032733-1033012-1,1033131-1033216-0,1033335-1033499-0,1033576-1033799-2,1033934-1034013-1,1034097-1034155-0,1034441-1034515-0	e06ed31ae111315b923bd3f9fef70e824a47f4652190efc2da83f9fec1525a3c
IRN_000020	IRN_000020	Dmagna_LRV_IRs_braker_fixed	g10014.t1	g10014.t1	CM058176.1|-|1036034-1036189-0,1036256-1036507-0,1036578-1037048-0,1037131-1037247-0,1037313-1037420-0,1037511-1037654-0,1037890-1038060-0,1038121-1038423-0,1038542-1038863-1,1039730-1039793-2,1039874-1040058-1,1041401-1041626-2,1041998-1042153-2,1047432-1047915-0,1048775-1049307-2,1049374-1049446-0	8664c0fd445e1294e4bfb53f977d3d5474c30a09e6e0ba754530f0e037a665c6
IRN_000021	IRN_000021	Dmagna_LRV_IRs_braker_fixed	g10015.t1	g10015.t1	CM058176.1|-|1053657-1054073-0,1054620-1054878-1,1054950-1055200-0	5f30a2f39e366c7b2afb22fbd78b1b8ad74ad21336b04960bfb0a3a2c501cb67
IRN_000022	IRN_000022	Dmagna_LRV_IRs_braker_fixed	g10016.t1	g10016.t1	CM058176.1|+|1066379-1066426-0,1066492-1066601-0,1066667-1066803-1,1066866-1066963-2,1067035-1067190-0,1067249-1067424-0,1067505-1067653-1,1067857-1068068-2,1068160-1068441-0,1068563-1068673-0	acc3378f90b3e00aedb337a1b772fdadda19743b4f93937965b3c262c3e28137
IRN_000023	IRN_000023	Dmagna_LRV_IRs_braker_fixed	g10017.t1	g10017.t1	CM058176.1|-|1069480-1069557-0,1069639-1069884-0,1069949-1070083-0,1070176-1070463-0,1070541-1070713-2,1070776-1070903-1,1071405-1071445-0,1071580-1071708-0	a635305cbc1af839e7877ff65538fdebd7808af880636b40c638122fa9f7b0de
IRN_000023	IRN_022939	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna004039-T1	rna-Dmagna004039-T1	CM058176.1|-|1069480-1069557-0,1069639-1069884-0,1069949-1070083-0,1070176-1070463-0,1070541-1070713-2,1070776-1070903-1,1071405-1071445-0,1071580-1071708-0	a635305cbc1af839e7877ff65538fdebd7808af880636b40c638122fa9f7b0de
IRN_000024	IRN_000024	Dmagna_LRV_IRs_braker_fixed	g10018.t1	g10018.t1	CM058176.1|+|1073196-1073456-0,1074699-1074838-0,1074932-1075038-1,1075434-1075586-2,1075664-1075860-2,1076964-1077067-0,1077291-1077457-1,1077524-1077632-2,1077725-1077870-1,1077925-1077998-2,1078064-1078215-0,1078754-1078961-1,1079089-1079209-0,1079281-1079587-2,1079665-1079744-1,1080426-1080639-2,1081885-1082014-1,1082083-1082249-0,1082337-1082424-1,1082490-1082597-0,1082685-1082737-0,1082809-1082955-1,1083033-1083234-1,1083300-1083509-0,1083581-1083640-0,1083703-1083786-0,1083855-1084043-0,1084121-1084265-0,1084349-1084746-2,1084815-1085019-0,1085102-1085349-2,1085421-1085516-0,1085578-1085726-0,1086141-1086436-1,1086590-1086636-2,1086697-1086975-0	56cb6de10c7b49169f005bd253655a69f03fbd13ca908bcf50ace4978299848a
IRN_000025	IRN_000025	Dmagna_LRV_IRs_braker_fixed	g10019.t1	g10019.t1	CM058176.1|+|1087990-1088125-0,1088199-1088273-2,1088332-1088505-2,1088566-1088767-2,1088827-1089108-1,1089182-1089323-1,1089383-1090035-0,1092607-1092827-1,1092897-1092960-2,1093186-1093393-1,1093478-1093590-0,1093657-1093839-1,1093902-1094115-1,1094234-1094264-0,1094328-1094479-2,1094546-1094677-0	f5b7877e6689e3b6bc64a6384273833545eacb7c9f73235e9e8c35e68108a85b
IRN_000026	IRN_000026	Dmagna_LRV_IRs_braker_fixed	g1002.t1	g1002.t1	CM058171.1|-|8240302-8240637-0	f347a35b5145edb657eda7b4938c29f9a2ecf4b658c0d3d43c3233321de9942c
IRN_000027	IRN_000027	Dmagna_LRV_IRs_braker_fixed	g10020.t1	g10020.t1	CM058176.1|-|1094973-1096311-1,1096366-1096717-2,1096776-1097121-0,1097179-1097955-0	d236f195c744c481ee6de16e73e3c4c56a2429c1a53e77731b837e0a3b674b7a
IRN_000028	IRN_000028	Dmagna_LRV_IRs_braker_fixed	g10021.t1	g10021.t1	CM058176.1|+|1098313-1098597-0,1098658-1098756-0,1099087-1099251-0,1099322-1099489-0	50600572eabcff5508df21c7e75be32211e105729f0689c8b219d7ac781deede
IRN_000029	IRN_000029	Dmagna_LRV_IRs_braker_fixed	g10022.t1	g10022.t1	CM058176.1|-|1099598-1099662-2,1099728-1099971-0	cf737ebb045d3335a5f900c12d2946cd8dbb301f658efa8088533b5d30c456fd
IRN_000029	IRN_022947	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna004046-T1	rna-Dmagna004046-T1	CM058176.1|-|1099598-1099662-2,1099728-1099971-0	cf737ebb045d3335a5f900c12d2946cd8dbb301f658efa8088533b5d30c456fd
IRN_000030	IRN_000030	Dmagna_LRV_IRs_braker_fixed	g10023.t1	g10023.t1	CM058176.1|+|1110295-1110458-0,1110513-1110613-1,1110852-1110934-2,1111012-1111122-0,1111304-1111363-0,1111460-1111605-0,1111662-1111995-1	596510274754d6fe2e4a330ddd0534aef18f9c94dd5760c2d351afecc6a27c68
IRN_000031	IRN_000031	Dmagna_LRV_IRs_braker_fixed	g10024.t1	g10024.t1	CM058176.1|-|1112207-1112362-0,1112429-1112451-2,1112515-1112628-2,1112727-1112880-0,1118048-1118161-0,1118220-1118333-0,1118400-1118513-0,1118580-1118693-0,1118760-1118873-0,1118940-1119053-0,1119127-1119144-0	66bff0d6c2b813ff0eb1b52e5dc57665dedc17d357ce34ea0b9424f21b44da96
IRN_000032	IRN_000032	Dmagna_LRV_IRs_braker_fixed	g10025.t1	g10025.t1	CM058176.1|+|1122205-1122276-0,1122350-1122542-0,1122599-1122678-2,1122765-1122906-0,1122977-1123350-2,1123426-1123498-0,1123558-1123613-2,1123686-1123850-0	eb2ba017e8fef90b11ac42bfa2ff63f71f1dcd994bf2236210767364a4277c7c
IRN_000033	IRN_000033	Dmagna_LRV_IRs_braker_fixed	g10026.t1	g10026.t1	CM058176.1|+|1130412-1130489-0,1130560-1130784-0	e8616f703139aac3659109c2a77a28c358303c7998fe3360b642782064523dcb
IRN_000034	IRN_000034	Dmagna_LRV_IRs_braker_fixed	g10027.t1	g10027.t1	CM058176.1|-|1132001-1132324-0,1132383-1132976-0	78b1a483c0e3b28f6020410eaeb9e6e55522d1774c1f820023530f5b9c6b5f9b
IRN_000034	IRN_022961	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna004059-T1	rna-Dmagna004059-T1	CM058176.1|-|1132001-1132324-0,1132383-1132976-0	78b1a483c0e3b28f6020410eaeb9e6e55522d1774c1f820023530f5b9c6b5f9b
IRN_000035	IRN_000035	Dmagna_LRV_IRs_braker_fixed	g10028.t1	g10028.t1	CM058176.1|+|1137334-1137429-0,1137489-1137896-0,1137957-1138136-0,1138210-1138865-0,1138933-1139461-1	636934c4bd1f1e5d671e64c645c3d1a84fbb8aa94eeaa8b2d15ea6c27c5926b2
IRN_000036	IRN_000036	Dmagna_LRV_IRs_braker_fixed	g10029.t1	g10029.t1	CM058176.1|+|1148405-1148503-0,1148566-1148656-0,1148728-1148827-2,1148893-1149002-1,1150180-1150286-2,1150349-1150439-0,1150511-1150608-2	0825db5ecd076fc9cccfcd64bd87d33446d39c978b7a26efded2044142a80fac
IRN_000037	IRN_000037	Dmagna_LRV_IRs_braker_fixed	g1003.t1	g1003.t1	CM058171.1|+|8241759-8241772-0,8241857-8242334-1	a1331c042db46098aeb0763c14ea8255afaf2cc01ec7d1b91e932d98e454c25f
IRN_000038	IRN_000038	Dmagna_LRV_IRs_braker_fixed	g10030.t1	g10030.t1	CM058176.1|-|1154475-1155404-0,1155560-1155661-0,1155732-1155806-0	d285a6751f732210a596c28e76a3755f88deb1b2ad6c7e0e6f55dc03911fe59d
IRN_000038	IRN_022966	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna004064-T1	rna-Dmagna004064-T1	CM058176.1|-|1154475-1155404-0,1155560-1155661-0,1155732-1155806-0	d285a6751f732210a596c28e76a3755f88deb1b2ad6c7e0e6f55dc03911fe59d
IRN_000039	IRN_000039	Dmagna_LRV_IRs_braker_fixed	g10031.t1	g10031.t1	CM058176.1|+|1157449-1157492-0,1157585-1157809-1,1157877-1158106-1,1158267-1158673-2	47b4495acaca2dbc9b7257755529ec064b7c68b19d4dd4a421d9528b3d44fe2e
IRN_000040	IRN_000040	Dmagna_LRV_IRs_braker_fixed	g10032.t1	g10032.t1	CM058176.1|+|1159149-1159247-0,1159347-1159632-0,1159695-1159885-2,1159945-1160124-0,1160193-1160350-0,1160418-1160674-1,1160740-1160911-2,1160984-1161131-1,1161205-1161349-0,1161415-1161485-2	707d9e2e8e8b4ff031aa3f16403cf1ac125a8687c903b35a5feb0969a4b67090
IRN_000041	IRN_000041	Dmagna_LRV_IRs_braker_fixed	g10033.t1	g10033.t1	CM058176.1|-|1162061-1162303-0,1162375-1162500-0,1162565-1162705-0,1162776-1162936-2,1163003-1163240-0,1163309-1163542-0,1163619-1163757-1,1163817-1164045-2,1164107-1164229-2,1165788-1165897-1,1165963-1166062-2,1166134-1166224-0,1166287-1166385-0	ce2f36eaed7fec6a8f31515154fc88bfcc421969f23cf87213662dbac9cf3f73
IRN_000042	IRN_000042	Dmagna_LRV_IRs_braker_fixed	g10034.t1	g10034.t1	CM058176.1|+|1185218-1185275-0,1188888-1189298-2,1190368-1190657-2,1191318-1191408-0,1191489-1191917-2,1191994-1192152-2,1192272-1192382-2,1192493-1192932-2,1193024-1193242-0,1193307-1193500-0,1193582-1194437-1,1194519-1195100-0,1195182-1195353-0,1195465-1195646-2,1195734-1195903-0,1195973-1196177-1,1196240-1196340-0,1196420-1196648-1	6067edbfa4701abe62851f60fd379f648662cfcf8f046c44b71b3f68df6a970b
IRN_000043	IRN_000043	Dmagna_LRV_IRs_braker_fixed	g10035.t1	g10035.t1	CM058176.1|-|1197679-1197864-0,1197933-1198163-0,1198230-1198414-2,1198479-1198560-0,1198630-1198741-1,1198804-1198978-2,1199056-1199401-0,1199475-1199796-1,1199859-1199981-1,1200047-1200333-0,1200403-1200766-1,1200850-1201024-2,1201112-1201417-2,1201481-1201724-0,1201782-1201901-0,1201985-1202188-0,1203132-1203287-0	cb7214aa587c59c8887b4c976b4bbc982aa4f80274a93231b37b844613ac8fc6
IRN_000044	IRN_000044	Dmagna_LRV_IRs_braker_fixed	g10036.t1	g10036.t1	CM058176.1|-|1217126-1217289-2,1217353-1217481-2,1217562-1217781-0,1217852-1218008-1,1218075-1218141-2,1218208-1218333-2,1218425-1218781-2,1218846-1218986-2,1219058-1219219-2,1219311-1220181-0	ac1945e7bf5ae24091c04012a0b140e9d6cf1b9c74be892af3b48bf27c8bf5b3
IRN_000044	IRN_022982	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna004080-T1	rna-Dmagna004080-T1	CM058176.1|-|1217126-1217289-2,1217353-1217481-2,1217562-1217781-0,1217852-1218008-1,1218075-1218141-2,1218208-1218333-2,1218425-1218781-2,1218846-1218986-2,1219058-1219219-2,1219311-1220181-0	ac1945e7bf5ae24091c04012a0b140e9d6cf1b9c74be892af3b48bf27c8bf5b3
IRN_000045	IRN_000045	Dmagna_LRV_IRs_braker_fixed	g10037.t1	g10037.t1	CM058176.1|+|1228611-1228924-0,1228992-1229105-1,1229193-1229256-1,1229318-1229413-0,1229478-1229623-0,1229738-1229824-1,1229889-1230042-1,1230172-1230426-0	8311282941afbd04d4d1080bc2530c24d99f16ceaac43715e38a9c7ea91211bc
IRN_000046	IRN_000046	Dmagna_LRV_IRs_braker_fixed	g10038.t1	g10038.t1	CM058176.1|-|1231185-1231357-2,1231422-1231493-2,1231560-1231668-0,1231735-1231809-0,1231874-1231920-2,1232007-1232082-0,1232150-1232260-0,1232375-1232527-0,1232595-1232764-2,1232867-1233065-0,1233160-1233337-1,1233609-1233757-0	b2844d3856965db35543455adb89764a3455f2ae3357652e2a99088cbbcaa469
IRN_000047	IRN_000047	Dmagna_LRV_IRs_braker_fixed	g10039.t1	g10039.t1	CM058176.1|+|1242735-1243190-0	330ef29604a341d8e27103c8ee61f2628a92e6974c05152c9aa2d29230dcc50f
IRN_000048	IRN_000048	Dmagna_LRV_IRs_braker_fixed	g1004.t1	g1004.t1	CM058171.1|+|8243586-8243715-0,8243791-8243962-2,8244179-8244385-1,8244439-8244700-1,8244761-8244977-0,8245786-8246193-2,8246254-8246439-2,8246509-8246996-2	059b798f7a2134a312545f9fe7430dd44028b191f481980b85bf5efbdce94ca5
IRN_000049	IRN_000049	Dmagna_LRV_IRs_braker_fixed	g10040.t1	g10040.t1	CM058176.1|+|1245109-1246124-0,1251054-1251157-1,1252276-1252487-2,1252943-1253168-0,1253846-1254439-2,1254536-1254832-2,1254909-1255124-2,1255212-1255486-2,1255560-1255693-0,1256108-1256278-1,1256423-1256625-1,1258165-1258327-2,1258710-1258974-1,1262087-1262249-0,1262327-1262448-2,1262524-1262693-0,1263108-1263243-1	e80a3821acfd405b19f23d368096c6f35b7cd2348b24c6c1c5ae030b349e3a6d
IRN_000050	IRN_000050	Dmagna_LRV_IRs_braker_fixed	g10041.t1	g10041.t1	CM058176.1|+|1266990-1267121-0,1267191-1267339-0,1267487-1267844-1,1267909-1268094-0,1268159-1268791-0,1268903-1269084-0,1269182-1269407-1,1269477-1269687-0,1269750-1269854-2,1269936-1270099-2	2f7c3077c14f4781329d4d9d3f53137944594c100d6be5fdb8ea683e92f39ebd
IRN_000051	IRN_000051	Dmagna_LRV_IRs_braker_fixed	g10042.t1	g10042.t1	CM058176.1|+|1282535-1282624-0,1282718-1283605-0	b03481a973c94442a806710bb5f9e3fed82561a033c0e3223b66fc6e167f1d5d
IRN_000051	IRN_022996	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna004094-T1	rna-Dmagna004094-T1	CM058176.1|+|1282535-1282624-0,1282718-1283605-0	b03481a973c94442a806710bb5f9e3fed82561a033c0e3223b66fc6e167f1d5d
IRN_000052	IRN_000052	Dmagna_LRV_IRs_braker_fixed	g10043.t1	g10043.t1	CM058176.1|+|1288122-1288148-0,1288227-1288432-0,1288515-1288635-1,1288772-1288963-0	9d4a4d9aa6f1b4f19d7b79be305ad96b39d0c3b38b6baa7b7456b70ba6746c21
IRN_000053	IRN_000053	Dmagna_LRV_IRs_braker_fixed	g10044.t1	g10044.t1	CM058176.1|-|1290759-1290857-0,1290927-1291006-2,1291076-1291209-1,1291282-1291414-2,1291482-1291701-0,1291763-1292108-1,1292176-1292386-2,1292465-1292610-1,1292678-1292868-0,1292931-1293101-0,1293183-1293236-0,1293331-1293417-0,1293506-1293604-0,1293680-1293853-0,1293944-1294105-0,1294168-1294267-1,1294524-1294659-2,1294739-1294774-2,1295415-1295625-0,1295690-1295719-0	611a0a1a65a6163d2779421c6938580667023c5f3aa058fa46a1dd4e0475cee3
IRN_000054	IRN_000054	Dmagna_LRV_IRs_braker_fixed	g10045.t1	g10045.t1	CM058176.1|+|1296716-1296800-0,1296866-1296946-2,1297008-1297165-2,1297224-1297421-0,1297487-1297730-0,1297807-1297925-2,1300711-1300750-0,1300824-1300994-2,1301086-1301191-2,1301259-1301448-1,1301540-1301770-0,1301838-1301973-0,1302072-1302265-2,1302763-1303013-0,1303311-1303506-1,1303601-1303688-0,1303765-1303935-2,1304039-1304250-2	e7c14e5ef48d309c4929f8dfcc3ba2a87749ebe228739a3a4b8921939b230332
IRN_000055	IRN_000055	Dmagna_LRV_IRs_braker_fixed	g10046.t1	g10046.t1	CM058176.1|-|1305020-1305222-2,1305282-1305872-2,1305949-1306699-0,1306853-1306980-2,1307090-1307510-0	71dfc9d5a0cc146e04e310647aa644f58caac059beedee8e0ca3a1f787b7c90f
IRN_000055	IRN_023003	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna004101-T1	rna-Dmagna004101-T1	CM058176.1|-|1305020-1305222-2,1305282-1305872-2,1305949-1306699-0,1306853-1306980-2,1307090-1307510-0	71dfc9d5a0cc146e04e310647aa644f58caac059beedee8e0ca3a1f787b7c90f
IRN_000056	IRN_000056	Dmagna_LRV_IRs_braker_fixed	g10047.t1	g10047.t1	CM058176.1|-|1307570-1308250-0	ee483ccb5c8239deb09ed5364be5bda2327dacf30197ce50c53184c59420a492
IRN_000057	IRN_000057	Dmagna_LRV_IRs_braker_fixed	g10048.t1	g10048.t1	CM058176.1|+|1310838-1311060-0,1311246-1312105-2	d04e052173344a0421da7de19f97b57e9414f6588f2480e13c98db35d60d6d9e
IRN_000058	IRN_000058	Dmagna_LRV_IRs_braker_fixed	g10049.t1	g10049.t1	CM058176.1|+|1313161-1314201-0	1ff6884724ae892754537dfab47a3a555c2a888a38eabb65139c2acec514fd6b
IRN_000059	IRN_000059	Dmagna_LRV_IRs_braker_fixed	g1005.t1	g1005.t1	CM058171.1|+|8262769-8263200-0,8263258-8263384-0,8263446-8263662-2,8263722-8263881-1,8263946-8264335-0,8264401-8265295-0,8265626-8266668-2,8266741-8267188-0,8267465-8267544-2	e8fb27a7fcc68748034f4ff888b87e1b4ada40f805f2ad86f9bcea0210252d60
IRN_000060	IRN_000060	Dmagna_LRV_IRs_braker_fixed	g10050.t1	g10050.t1	CM058176.1|-|1315172-1315263-2,1317221-1317371-0,1319391-1319604-1,1319712-1319881-0	91ae166755bca18cf65233335f0e70eea0d055b45b89d7dd3fb68c0928511fbe
IRN_000061	IRN_000061	Dmagna_LRV_IRs_braker_fixed	g10051.t1	g10051.t1	CM058176.1|+|1330997-1331117-0,1331349-1331557-2	9fdf9b5390fd8435953fa4f598e289384e3f08c626da2bc40a127d47e0fdeec7
IRN_000062	IRN_000062	Dmagna_LRV_IRs_braker_fixed	g10052.t1	g10052.t1	CM058176.1|+|1342626-1342810-0,1343756-1343879-1,1343969-1344020-0,1344107-1344495-2,1344592-1344770-0,1344842-1344972-1,1345054-1345223-2	79731b7a16b5ec9eb1b583a8473f1fdd284ca7afb75a0869291cccc74385488f
IRN_000062	IRN_023012	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna004110-T1	rna-Dmagna004110-T1	CM058176.1|+|1342626-1342810-0,1343756-1343879-1,1343969-1344020-0,1344107-1344495-2,1344592-1344770-0,1344842-1344972-1,1345054-1345223-2	79731b7a16b5ec9eb1b583a8473f1fdd284ca7afb75a0869291cccc74385488f
IRN_000063	IRN_000063	Dmagna_LRV_IRs_braker_fixed	g10053.t1	g10053.t1	CM058176.1|-|1353296-1353431-1,1353498-1353560-1,1353621-1353672-2,1353736-1353947-1,1354046-1354195-1,1354276-1354397-0,1354458-1354580-0,1354652-1354738-0	ed55d2a0eb76aa5f7479c008b77dfd2ad8a8ebd00ec76e79576cb596c41f6492
IRN_000063	IRN_023013	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna004111-T1	rna-Dmagna004111-T1	CM058176.1|-|1353296-1353431-1,1353498-1353560-1,1353621-1353672-2,1353736-1353947-1,1354046-1354195-1,1354276-1354397-0,1354458-1354580-0,1354652-1354738-0	ed55d2a0eb76aa5f7479c008b77dfd2ad8a8ebd00ec76e79576cb596c41f6492
IRN_000064	IRN_000064	Dmagna_LRV_IRs_braker_fixed	g10054.t1	g10054.t1	CM058176.1|+|1355347-1355369-0,1355582-1355681-1,1355756-1355948-0,1356017-1356192-2	68b62d71fc012df6ae787b540edc5b5794223d130a1f73bfad3bf2c1d27e76fc
IRN_000064	IRN_023014	GCA_030254905.1_UOB_LRV0_1_genomic	rna-Dmagna004112-T1	rna-Dmagna004112-T1	CM058176.1|+|1355347-1355369-0,1355582-1355681-1,1355756-1355948-0,1356017-1356192-2	68b62d71fc012df6ae787b540edc5b5794223d130a1f73bfad3bf2c1d27e76fc
