protein_id	feature_order	n_tmhelix	has_signal	has_unknown_features	hardcoded_call	topology_class	hardcoded_reason
IRN_006147	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_006568	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_006569	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_006571	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_006572	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_006620	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_006621	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_006687	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_006691	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_006692	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_006693	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_006694	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_006695	signal,outside,tmhelix,inside,tmhelix,outside	2	true	false	fail	fail	wrong_feature_order
IRN_006696	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_006708	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_006709	inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	4	false	false	fail	fail	wrong_feature_order
IRN_006822	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_006823	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_006834	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_006860	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_006871	signal,outside,tmhelix,inside	1	true	false	fail	fail	wrong_feature_order
IRN_006902	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_006903	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_006904	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_007570	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_007815	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_008983	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_009752	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_009880	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	5	false	false	fail	fail	wrong_feature_order
IRN_009883	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_010297	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_010403	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_010408	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_010559	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_010772	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_011021	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_012210	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_012435	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_012556	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_012579	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_012580	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_012764	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_013051	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_013052	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_013061	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_013062	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_013081	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_013082	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_013094	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_013095	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_013096	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_013101	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	5	true	false	fail	fail	wrong_feature_order
IRN_013102	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_013103	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_013108	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_013109	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_013264	inside,tmhelix,outside,tmhelix,inside,tmhelix,outside	3	false	false	fail	fail	wrong_feature_order
IRN_014672	inside,tmhelix,outside,tmhelix,inside	2	false	false	fail	fail	wrong_feature_order
IRN_014782	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_015238	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_015377	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_015386	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_016450	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_016454	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_016461	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_016521	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_016522	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_017733	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018012	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018036	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside	6	true	false	fail	fail	wrong_feature_order
IRN_018037	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside,tmhelix,outside	8	true	false	fail	fail	wrong_feature_order
IRN_018066	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018068	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018675	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_018676	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018677	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018678	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018679	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018680	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018681	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_018682	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018683	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018684	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_018685	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_018686	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018687	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018688	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018689	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_018690	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_018692	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018693	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018694	outside,tmhelix,inside,tmhelix,outside	2	false	false	fail	fail	wrong_feature_order
IRN_018695	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018696	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_018697	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018698	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_018699	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018700	inside,tmhelix,outside,tmhelix,inside	2	false	false	fail	fail	wrong_feature_order
IRN_018701	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_018702	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018703	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_018704	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018705	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018706	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018707	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018708	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018709	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018710	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018711	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018712	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_018713	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_018714	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018715	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018716	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018717	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018718	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018719	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018720	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018721	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018722	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018723	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018724	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018725	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018726	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018727	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_018728	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018729	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018730	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018731	inside,tmhelix,outside,tmhelix,inside	2	false	false	fail	fail	wrong_feature_order
IRN_018732	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018733	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018734	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018735	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_018736	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_018737	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018738	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018739	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018740	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018741	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018742	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018743	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_018744	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018745	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018746	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018747	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018748	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018750	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018751	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_018752	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_019005	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_019006	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_019011	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_019737	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_019890	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_019896	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_020148	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_020149	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_020591	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_023258	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_023706	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_026222	signal,outside,tmhelix,inside,tmhelix,outside	2	true	false	fail	fail	wrong_feature_order
IRN_026466	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_026720	outside,tmhelix,inside	1	false	false	fail	fail	wrong_feature_order
IRN_026722	inside,tmhelix,outside,tmhelix,inside	2	false	false	fail	fail	wrong_feature_order
IRN_028897	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_028899	signal,outside	0	true	false	fail	fail	wrong_feature_order
IRN_029258	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_030489	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_030706	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_030707	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_030779	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_031157	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_031619	outside,tmhelix,inside,tmhelix,outside	2	false	false	fail	fail	wrong_feature_order
IRN_031632	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_031667	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_031684	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_031685	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_031692	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_031693	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_031694	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_031695	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	relaxed	matches_relaxed_topology
IRN_031700	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_031967	outside,tmhelix,inside,tmhelix,outside	2	false	false	fail	fail	wrong_feature_order
IRN_033492	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
IRN_033493	signal,outside,tmhelix,inside,tmhelix,outside	2	true	false	fail	fail	wrong_feature_order
IRN_033505	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	strict	matches_strict_topology
