protein_id	feature_order	n_tmhelix	has_signal	has_unknown_features	hardcoded_call	hardcoded_reason
XP_059085028.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059083829.1	signal,outside,tmhelix,inside,tmhelix,outside	2	true	false	fail	wrong_feature_count
XP_059090680.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059088024.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059088977.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059089141.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059087838.1	outside,tmhelix,inside	1	false	false	fail	wrong_feature_count
XP_059096372.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059089661.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059082523.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059088081.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059088083.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059086902.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059087878.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059088886.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059085026.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059085068.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059085084.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059083828.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059085070.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059088574.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059084403.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059081678.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059087837.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059084838.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059083446.1	signal,outside,tmhelix,inside	1	true	false	fail	wrong_feature_count
XP_059079489.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059098288.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059084920.1	signal,outside,tmhelix,inside,tmhelix,outside	2	true	false	fail	wrong_feature_count
XP_059086884.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059083805.1	inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	4	false	false	fail	wrong_feature_count
XP_059080319.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059084726.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059080573.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059087836.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059084837.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059099180.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059098639.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059099218.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059098032.1	signal,outside,tmhelix,inside,tmhelix,outside	2	true	false	fail	wrong_feature_count
XP_059098080.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059097828.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059098031.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059097644.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059097643.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059097759.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059097426.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059097411.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059097430.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059097354.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059097263.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059096679.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059096791.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059096594.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059096591.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059096479.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059096592.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059096595.1	signal,outside,tmhelix,inside,tmhelix,outside	2	true	false	fail	wrong_feature_count
XP_059096463.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059096371.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059096370.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059095945.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059095839.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059096256.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059096106.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059095937.1	inside,tmhelix,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	4	false	false	fail	wrong_feature_count
XP_059095760.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059095569.1	outside,tmhelix,inside,tmhelix,outside	2	false	false	fail	wrong_feature_count
XP_059094370.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059095533.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059095193.1	outside,tmhelix,inside	1	false	false	fail	wrong_feature_count
XP_059095158.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059092450.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059095174.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059093916.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059093676.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059095118.1	outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	false	false	pass	matches_strict_topology
XP_059099441.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
XP_059099240.1	signal,outside,tmhelix,inside,tmhelix,outside,tmhelix,inside	3	true	false	pass	matches_strict_topology
